Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error
SIM-0409,DBS,Naive pooled UGA NNLS,35,0.11904761904761903,0.5016809823938161,6,2,0.0,0.002617099231129018
SIM-0409,ID,Naive pooled UGA NNLS,40,0.04102237451909618,0.864168851169847,2,6,0.0,0.003282900343333478
SIM-0410,SBS,Separate categorical NNLS,1005,0.011496964324412823,0.9959272913238727,6,6,1.0,
SIM-0410,SBS,Separate UGA NNLS,1005,0.0021229817813566685,0.9999015865335089,6,6,1.0,
SIM-0410,DBS,Separate categorical NNLS,46,0.0037963641461446866,0.9995835727598351,6,6,1.0,
SIM-0410,DBS,Separate UGA NNLS,46,0.005396156453806057,0.998978635289036,6,6,1.0,
SIM-0410,ID,Separate categorical NNLS,58,0.00702871472257488,0.9978852658391825,6,6,1.0,
SIM-0410,ID,Separate UGA NNLS,58,0.005778146221204956,0.9995834409038307,6,6,1.0,
SIM-0410,SBS,Naive pooled UGA NNLS,1005,0.003234581971163305,0.9998546435078852,6,6,1.0,0.010150614669891533
SIM-0410,DBS,Naive pooled UGA NNLS,46,0.016393371620545966,0.9907237675320376,6,6,1.0,0.002960289881171925
SIM-0410,ID,Naive pooled UGA NNLS,58,0.06869860126883325,0.854120680007611,6,6,1.0,0.007190324788719664
SIM-0411,SBS,Separate categorical NNLS,1415,0.015246684707423484,0.9894640325786432,6,6,1.0,
SIM-0411,SBS,Separate UGA NNLS,1415,0.0014644372286512757,0.999951553818479,6,6,1.0,
SIM-0411,DBS,Separate categorical NNLS,57,0.018271021241791464,0.9854328527829938,6,6,1.0,
SIM-0411,DBS,Separate UGA NNLS,57,0.004016099767042847,0.9993488902405708,6,6,1.0,
SIM-0411,ID,Separate categorical NNLS,140,0.0038058224435541343,0.9992041243006512,6,6,1.0,
SIM-0411,ID,Separate UGA NNLS,140,0.0035212867203898413,0.9997137748842136,6,6,1.0,
SIM-0411,SBS,Naive pooled UGA NNLS,1415,0.0032941654489130807,0.9996016238251557,6,6,1.0,0.0019569672524641923
SIM-0411,DBS,Naive pooled UGA NNLS,57,0.060885425757526035,0.9204561618358866,6,6,1.0,0.005193430810252048
SIM-0411,ID,Naive pooled UGA NNLS,140,0.02430133865356303,0.9836306570448591,6,6,1.0,0.0032364635577879636
SIM-0412,SBS,Separate categorical NNLS,758,0.006114827326138072,0.9991948399873929,3,3,1.0,
SIM-0412,SBS,Separate UGA NNLS,758,0.0010886123285170832,0.9999861093872039,3,3,1.0,
SIM-0412,DBS,Separate categorical NNLS,33,0.03295766992718056,0.9672604746214082,3,3,1.0,
SIM-0412,DBS,Separate UGA NNLS,33,0.0032992473488506415,0.9999008820871486,3,3,1.0,
SIM-0412,ID,Separate categorical NNLS,277,0.002668027153198882,0.9999213646951892,3,3,1.0,
SIM-0412,ID,Separate UGA NNLS,277,0.0019337825814106497,0.999943036035475,3,3,1.0,
SIM-0412,SBS,Naive pooled UGA NNLS,758,0.007538902535292544,0.9991515967051932,3,3,1.0,0.015447815155131495
SIM-0412,DBS,Naive pooled UGA NNLS,33,0.08543481934893749,0.7236510450573679,3,3,1.0,0.004406518959673034
