repeat,fold,n_train,n_test,fold_spearman,fold_mae,suite,endpoint,task,feature_set,fold_auroc,fold_balanced_accuracy
1,3,618,154,0.5743726099006926,4.60327663978973,tcga_brca_hrd,HRD_TAI,regression,burden_only,,
1,4,618,154,0.6438941121227039,4.463760660840319,tcga_brca_hrd,HRD_TAI,regression,burden_only,,
1,5,618,154,0.669847057878087,4.18954147301711,tcga_brca_hrd,HRD_TAI,regression,burden_only,,
1,1,617,155,0.7282192060258039,3.9697127619097294,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_exposure,,
1,2,617,155,0.6654264691698213,4.143424449428435,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_exposure,,
1,3,618,154,0.6909686776506178,4.409911870956421,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_exposure,,
1,4,618,154,0.6277384798353141,3.670935005336613,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_exposure,,
1,5,618,154,0.5457068862383965,4.459899001307302,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_exposure,,
1,1,617,155,0.5823261258091057,4.238687979790472,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_id_exposure,,
1,2,617,155,0.6759359531896619,4.0762881955792825,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_id_exposure,,
1,3,618,154,0.6987423126626622,4.371733012137475,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_id_exposure,,
1,4,618,154,0.7180412239466601,3.655497256811563,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_id_exposure,,
1,5,618,154,0.660307604689447,3.5192194882925456,tcga_brca_hrd,HRD_TAI,regression,locked_uga_sbs_id_exposure,,
1,1,617,155,0.6647971494757412,4.309603995661582,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_exposure,,
1,2,617,155,0.7336512947556912,3.563930603765672,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_exposure,,
1,3,618,154,0.7175122949831655,3.760788833940184,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_exposure,,
1,4,618,154,0.6453287341361934,4.161056865345348,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_exposure,,
1,5,618,154,0.5670158606101653,4.647007403435645,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_exposure,,
1,1,617,155,0.6948013379280562,3.9757095429205127,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_id_exposure,,
1,2,617,155,0.6022647248712832,4.156340580601846,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_id_exposure,,
1,3,618,154,0.7215539745402423,4.10096398266879,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_id_exposure,,
1,4,618,154,0.6700049137126296,3.8572425346869927,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_id_exposure,,
1,5,618,154,0.6308075545053078,4.338973519089934,tcga_brca_hrd,HRD_TAI,regression,standard_sbs_id_exposure,,
1,1,617,155,0.1681265277521346,0.7671616486895162,tcga_brca_hrd,PARPi7,regression,burden_only,,
1,2,617,155,0.1497163261254219,0.8088638513437741,tcga_brca_hrd,PARPi7,regression,burden_only,,
1,3,618,154,0.1513840411416526,0.7446243582448847,tcga_brca_hrd,PARPi7,regression,burden_only,,
1,4,618,154,0.1473621347419748,0.8065181873973719,tcga_brca_hrd,PARPi7,regression,burden_only,,
1,5,618,154,0.1242942494728499,0.830555375676162,tcga_brca_hrd,PARPi7,regression,burden_only,,
1,1,617,155,0.081971584752948,0.8130689523777807,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_exposure,,
1,2,617,155,0.1194793894799963,0.7887419180637002,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_exposure,,
1,3,618,154,0.1902829551681667,0.7977405835536743,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_exposure,,
1,4,618,154,0.1600870077398621,0.8157385524713703,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_exposure,,
1,5,618,154,0.0797705866604819,0.7486666508699383,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_exposure,,
1,1,617,155,0.0566743364668821,0.7778379190200547,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_id_exposure,,
1,2,617,155,0.1693690935659165,0.8124766322857987,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_id_exposure,,
1,3,618,154,0.135763830704709,0.8496250866298397,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_id_exposure,,
1,4,618,154,0.1452331137615335,0.7514212606997304,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_id_exposure,,
1,5,618,154,0.1537857461460437,0.8212893550860291,tcga_brca_hrd,PARPi7,regression,locked_uga_sbs_id_exposure,,
1,1,617,155,0.2757530006461303,0.8143890160271736,tcga_brca_hrd,PARPi7,regression,standard_sbs_exposure,,
1,2,617,155,0.1841948584902367,0.7987670444877791,tcga_brca_hrd,PARPi7,regression,standard_sbs_exposure,,
1,3,618,154,0.1716879148378882,0.7245844679461139,tcga_brca_hrd,PARPi7,regression,standard_sbs_exposure,,
1,4,618,154,0.2769151657496119,0.7646128535809126,tcga_brca_hrd,PARPi7,regression,standard_sbs_exposure,,
1,5,618,154,0.2692440387624253,0.7335121805489798,tcga_brca_hrd,PARPi7,regression,standard_sbs_exposure,,
1,1,617,155,0.1680170733775439,0.7721482499093395,tcga_brca_hrd,PARPi7,regression,standard_sbs_id_exposure,,
1,2,617,155,0.2994047868430578,0.7383179657222396,tcga_brca_hrd,PARPi7,regression,standard_sbs_id_exposure,,
