modality,representation,algorithm,patient,mutation_burden,cosine,mae,n_active_truth_signatures,n_active_predicted_signatures
SBS,standard,NNLS,SP121816,41.0,0.1400173900497951,0.0171530919038599,5,16
SBS,standard,NNLS,SP121824,26.0,0.0662756217112916,0.0175164441336514,4,12
SBS,standard,NNLS,SP121828,55.0,0.398790187212131,0.0136613195597218,4,17
SBS,standard,NNLS,SP121831,38.0,0.3652122771764514,0.0140832872351054,4,16
SBS,standard,NNLS,SP121837,36.0,0.1940629221303736,0.0155542798070139,4,17
SBS,standard,NNLS,SP121841,40.0,0.0315300350012621,0.0192361427710046,5,14
SBS,standard,NNLS,SP121847,60.0,0.1304613978788631,0.0175595698529585,4,21
SBS,standard,NNLS,SP121852,76.0,0.3602788385558165,0.0156132157175499,4,22
SBS,standard,NNLS,SP121859,33.0,0.2180027966009971,0.0178802632972812,4,12
SBS,standard,NNLS,SP12186,122.0,0.7150950276148821,0.0093780106471046,4,13
SBS,standard,NNLS,SP121861,6.0,0.0028413040804176,0.0204654191186322,4,7
SBS,standard,NNLS,SP121865,40.0,0.0481565792284174,0.0190608473884178,4,15
SBS,standard,NNLS,SP121870,43.0,0.1828329098361911,0.0164079196637635,5,21
SBS,standard,NNLS,SP122361,71.0,0.4577903509686675,0.0145371898997401,4,20
SBS,standard,NNLS,SP122372,20.0,0.062080970932012,0.018808280227922,2,14
SBS,standard,NNLS,SP122392,167.0,0.1013302386765958,0.0198686842790441,2,21
SBS,standard,NNLS,SP122412,45.0,0.1622095237024451,0.0164287451150505,4,13
SBS,standard,NNLS,SP122476,77.0,0.0294354702445149,0.0194909306778504,4,20
SBS,standard,NNLS,SP122489,44.0,0.094963618800318,0.0177142665732532,4,25
SBS,standard,NNLS,SP122560,37.0,0.0031931278211036,0.0205082287445915,2,19
SBS,standard,NNLS,SP122590,33.0,0.0849301088768192,0.0191961174362192,2,15
SBS,standard,NNLS,SP122634,59.0,0.1579743702015551,0.0166350167398328,2,21
SBS,standard,NNLS,SP122676,123.0,0.053815379736271,0.0193538093601637,3,31
SBS,standard,NNLS,SP122702,73.0,0.3391513077970033,0.0166687585987549,2,27
SBS,standard,NNLS,SP122714,23.0,0.0549902319524533,0.0198869896749439,2,17
SBS,standard,NNLS,SP122725,58.0,0.3181659308115732,0.0159298597658431,4,20
SBS,standard,NNLS,SP123010,40.0,0.1193885790074653,0.0171914495052446,2,16
SBS,standard,NNLS,SP123836,30.0,0.56193490068433,0.0113047300099825,4,13
SBS,standard,NNLS,SP123840,22.0,0.3728931030630542,0.0173353557977123,2,14
SBS,standard,NNLS,SP123842,22.0,0.1991169483876488,0.0173608093493835,2,16
SBS,standard,NNLS,SP123844,14.0,0.4316340359700527,0.0150837384243153,2,12
SBS,standard,NNLS,SP123846,30.0,0.4900085483888257,0.0146724929475226,2,16
SBS,standard,NNLS,SP123850,30.0,0.6523358206600182,0.0151321451688423,2,14
SBS,standard,NNLS,SP123852,32.0,0.7347366657618756,0.014647260129386,2,17
SBS,standard,NNLS,SP123854,16.0,0.0773772579112556,0.0195430679541433,4,10
SBS,standard,NNLS,SP123856,10.0,0.0857411580728177,0.0172158107022452,2,8
SBS,standard,NNLS,SP123858,9.0,0.4320979331259508,0.0167794646747143,2,12
SBS,standard,NNLS,SP123870,12.0,0.4159046159917112,0.0171590456894472,2,12
SBS,standard,NNLS,SP123872,50.0,0.5902136929680137,0.0138477564024,4,15
SBS,standard,NNLS,SP123874,13.0,0.1331997528535461,0.0183140240570972,2,11
SBS,standard,NNLS,SP123876,28.0,0.1236414839653144,0.0188744862504174,2,16
SBS,standard,NNLS,SP123878,17.0,0.0208189554733898,0.0201169275784167,2,10
SBS,standard,NNLS,SP123882,21.0,0.5989949605154704,0.015131818715298,1,10
SBS,standard,NNLS,SP123884,25.0,0.2693417563077791,0.018087960335287,1,11
SBS,standard,NNLS,SP123886,6.0,0.0198986595149323,0.0201936264288625,2,9
SBS,standard,NNLS,SP123888,13.0,0.4848692277364471,0.0158769097522484,3,13
SBS,standard,NNLS,SP123890,22.0,0.1078683485580666,0.0186573016115042,2,15
SBS,standard,NNLS,SP123892,16.0,0.701307351766966,0.0150632480683435,2,15
SBS,standard,NNLS,SP123894,30.0,0.1645747441920985,0.0176578141373874,4,15
SBS,standard,NNLS,SP123897,25.0,0.7503529034366685,0.0120743414935257,2,11
SBS,standard,NNLS,SP123900,28.0,0.0686023673147583,0.0194101462603969,2,16
SBS,standard,NNLS,SP123902,19.0,0.0,0.0206185567010309,2,10
SBS,standard,NNLS,SP123950,15.0,0.1550770436227184,0.0191427503855022,2,9
SBS,standard,NNLS,SP123953,20.0,0.569076900153195,0.0146744979544638,4,10
SBS,standard,NNLS,SP123955,19.0,0.1340774423352533,0.0173210384684729,2,16
SBS,standard,NNLS,SP123958,11.0,0.0921636145880872,0.0191665881811802,5,10
SBS,standard,NNLS,SP123964,27.0,0.2693501305156212,0.0189039765819599,2,15
SBS,standard,NNLS,SP123967,13.0,0.3087813786428587,0.0173556358213687,3,13
SBS,standard,NNLS,SP123969,33.0,0.2411353140197432,0.0186806239934887,2,23
SBS,standard,NNLS,SP123972,66.0,0.3615151593744595,0.0166461269100977,4,22
SBS,standard,NNLS,SP123978,17.0,0.0186483272839568,0.0203395615186498,2,13
SBS,standard,NNLS,SP123984,11.0,0.5026173718195662,0.0162609310140805,2,10
SBS,standard,NNLS,SP123988,55.0,0.2428077078453429,0.0179319589770599,2,17
SBS,standard,NNLS,SP123995,23.0,0.1036511954583536,0.019093822380313,2,15
SBS,standard,NNLS,SP123998,23.0,0.2911734459131429,0.0178258415422817,4,15
SBS,standard,NNLS,SP124003,7.0,0.0,0.0206185567010309,2,7
SBS,standard,NNLS,SP124013,12.0,0.0,0.0206185567010309,2,10
SBS,standard,NNLS,SP124017,9.0,0.0,0.0206185567010309,2,9
SBS,standard,NNLS,SP124021,25.0,0.4014516994666685,0.015323084094518,4,12
SBS,standard,NNLS,SP124033,16.0,0.2196058777397935,0.0178711822340807,2,8
SBS,standard,NNLS,SP124191,25.0,0.1601214406242813,0.0172634084015254,5,16
SBS,standard,NNLS,SP124193,34.0,0.3968317002585141,0.0119879219482543,4,11
SBS,standard,NNLS,SP124195,30.0,0.1265954270322193,0.017215894401706,5,16
SBS,standard,NNLS,SP124197,229.0,0.6634650494425239,0.0101126936442711,5,19
SBS,standard,NNLS,SP124199,40.0,0.1522635572614203,0.0153393827632894,4,10
SBS,standard,NNLS,SP124201,19.0,0.0715295725726671,0.0184377478191911,2,13
SBS,standard,NNLS,SP124207,73.0,0.0090886157457827,0.0198815500874995,7,25
SBS,standard,NNLS,SP124264,112.0,0.0594001432469979,0.0188158035491266,5,26
SBS,standard,NNLS,SP124271,157.0,0.6543881580845193,0.0115004147973178,7,24
SBS,standard,NNLS,SP124273,80.0,0.3296416387105083,0.0140855582835045,4,19
SBS,standard,NNLS,SP124278,49.0,0.1965649654705138,0.0170635805181465,3,20
SBS,standard,NNLS,SP124281,44.0,0.3609932169666225,0.0178034559827623,3,21
SBS,standard,NNLS,SP124286,21.0,0.1371868154857174,0.0173096420061413,6,11
SBS,standard,NNLS,SP124291,72.0,0.0753099726673083,0.0186646008066131,4,21
SBS,standard,NNLS,SP124295,121.0,0.4996351626338913,0.0155164265038329,5,26
SBS,standard,NNLS,SP124298,3335.0,0.8334842223540628,0.0074142311670676,4,10
SBS,standard,NNLS,SP124305,336.0,0.9398069336694264,0.0065518235802967,5,17
SBS,standard,NNLS,SP124307,762.0,0.8959331803785562,0.0078528531062106,5,15
SBS,standard,NNLS,SP124311,878.0,0.7755286766831313,0.0097054130347817,5,16
SBS,standard,NNLS,SP124319,1450.0,0.757358656749326,0.0100073244353859,4,8
SBS,standard,NNLS,SP124323,38.0,0.3562782258830683,0.0168474223674649,3,17
SBS,standard,NNLS,SP124326,533.0,0.8497782390166521,0.0092100957616576,6,14
SBS,standard,NNLS,SP124329,346.0,0.792540690992531,0.0088848936684684,4,14
SBS,standard,NNLS,SP124333,321.0,0.9027968711636246,0.0077786291541088,6,15
SBS,standard,NNLS,SP124334,618.0,0.8756998226696068,0.007934030081804,5,12
SBS,standard,NNLS,SP124336,68.0,0.0960910604339211,0.0186609290313508,3,20
SBS,standard,NNLS,SP124339,22.0,0.1559812745265289,0.0175649324250501,9,9
SBS,standard,NNLS,SP124341,132.0,0.0252400891478693,0.0190738567664548,4,19
SBS,standard,NNLS,SP124344,64.0,0.0499600437153847,0.0192096606923135,4,24
SBS,standard,NNLS,SP124346,218.0,0.8648491084917792,0.0088815152238094,6,20
SBS,standard,NNLS,SP124348,50.0,0.0,0.0206185567010309,6,14
SBS,standard,NNLS,SP124351,84.0,0.9377221628455008,0.0074704625955057,4,20
SBS,standard,NNLS,SP124353,48.0,0.225258856920297,0.0157559466030641,5,16
SBS,standard,NNLS,SP124355,42.0,0.1211507877634074,0.0181787036078292,4,15
SBS,standard,NNLS,SP124357,59.0,0.0221352112798557,0.0193769771850224,4,22
SBS,standard,NNLS,SP124359,92.0,0.1824714975159523,0.0170565738122773,3,28
SBS,standard,NNLS,SP124362,1382.0,0.7977469741158093,0.0089898788430312,4,8
SBS,standard,NNLS,SP124364,782.0,0.8845296181688419,0.0079838622268521,6,14
SBS,standard,NNLS,SP124365,597.0,0.7816718902703991,0.0104512272433097,6,18
SBS,standard,NNLS,SP124367,1142.0,0.8426166968315764,0.0085593059622706,5,13
SBS,standard,NNLS,SP124369,1034.0,0.8768890019009687,0.0071094460413009,5,13
SBS,standard,NNLS,SP124376,521.0,0.6834031324223071,0.0115236641572617,6,11
SBS,standard,NNLS,SP124377,618.0,0.8523342460421872,0.0086291581944792,5,20
SBS,standard,NNLS,SP124380,1173.0,0.8814263409891452,0.0077528068881708,5,12
SBS,standard,NNLS,SP124382,4426.0,0.8353403250530466,0.0077107482097695,4,15
SBS,standard,NNLS,SP124384,1802.0,0.6786189061696837,0.0113227608259247,6,12
SBS,standard,NNLS,SP124386,869.0,0.8547763224580724,0.0077706900715274,6,15
SBS,standard,NNLS,SP124389,587.0,0.7730543999786961,0.0091504171804091,6,11
SBS,standard,NNLS,SP124391,77.0,0.2989614544475423,0.0145240019046136,9,22
SBS,standard,NNLS,SP124394,783.0,0.8534074554989133,0.007802168985607,3,12
SBS,standard,NNLS,SP124396,335.0,0.925729953453814,0.0078724087314656,6,16
SBS,standard,NNLS,SP124399,1065.0,0.8213802499811502,0.009320527028776,4,13
