benchmark,endpoint,task,representation,learner,metric,score,auroc,auprc,balanced_accuracy,accuracy,macro_f1,mae,r2,n_samples,n_classes,n_features,n_folds,folds,repeats,oof_aggregate,split_strategy,tuning,experiment_id,model_family,cache_key,oof_prediction_file,fold_metrics_file,optuna_trials_completed,run_id,status,atlas_status_note,linear_solver,xgb_tree_method,runtime_seconds
kucab_damage_class,damage_class,multiclass_grouped,standard_sbs96_dbs78_id83,linear,macro_auroc,0.5960191712439127,0.5960191712439127,,0.2270141931014988,0.332046332046332,0.220838580778856,,,259,8,261,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,elastic_net,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab raw-event spectra/burden from FASTA-validated event inventory,sgd_log_loss_elasticnet_v1,,0.218
kucab_damage_class,damage_class,multiclass_grouped,standard_sbs96_dbs78_id83,xgboost,macro_auroc,0.6512250266350554,0.6512250266350554,,0.2437008681545258,0.3436293436293436,0.2351008165847577,,,259,8,261,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,XGBoost,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab raw-event spectra/burden from FASTA-validated event inventory,,gpu_hist,8.69
kucab_damage_class,damage_class,multiclass_grouped,MAF_stack_only,linear,macro_auroc,0.5661408172704501,0.5661408172704501,,0.1938906904135596,0.2972972972972973,0.1707486287320001,,,259,8,2255,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_kucab_event_stack_872e23eb5f9880be0be816d9,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab event-stack analogue; no TCGA gene-consequence MAF atlas,sgd_log_loss_elasticnet_v1,,0.413
kucab_damage_class,damage_class,multiclass_grouped,MAF_stack_only,xgboost,macro_auroc,0.5849643747533945,0.5849643747533945,,0.2068030048749811,0.2934362934362934,0.2057931517188934,,,259,8,2255,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_kucab_event_stack_872e23eb5f9880be0be816d9,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab event-stack analogue; no TCGA gene-consequence MAF atlas,,gpu_hist,9.396
kucab_damage_class,damage_class,multiclass_grouped,signatures_plus_MAF_stack,linear,macro_auroc,0.5584409653747315,0.5584409653747315,,0.1830547272234592,0.2857142857142857,0.1689243024487026,,,259,8,2516,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,elastic_net,main_complete_panel_kucab_signatures_plus_event_stack_fd639a8047eaf339d8ce38eb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab event-stack analogue; no TCGA gene-consequence MAF atlas,sgd_log_loss_elasticnet_v1,,0.445
kucab_damage_class,damage_class,multiclass_grouped,signatures_plus_MAF_stack,xgboost,macro_auroc,0.6426391744743751,0.6426391744743751,,0.2315441005002231,0.3397683397683397,0.2219074009665171,,,259,8,2516,5,5,1,True,5-fold StratifiedGroupKFold grouped by agent_core,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_kucab_signatures_plus_event_stack_fd639a8047eaf339d8ce38eb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T021807Z,measured,Kucab event-stack analogue; no TCGA gene-consequence MAF atlas,,gpu_hist,9.797
mc3_main,cancer_type_top10,multiclass,MAF_stack_only,xgboost,macro_auroc,0.9367616100185157,0.9367616100185157,,0.6513994818086514,0.6634932259245697,0.6610329757963456,,,5462,10,1823,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_4d7204a3df7f4ac9d62a915b,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T112020Z,measured,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,,gpu_hist,13.791
mc3_main,cancer_type_top10,multiclass,signatures_plus_MAF_stack,xgboost,macro_auroc,0.9577306636052138,0.9577306636052138,,0.7294134763072373,0.7339802270230684,0.7417708582846794,,,5462,10,2005,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_9b80a6853e563772f3b369f5,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T112020Z,measured,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,,gpu_hist,15.473
mc3_main,os_event,binary,MAF_stack_only,xgboost,auroc,0.653887254847177,0.653887254847177,0.42468036344670235,0.614259371764602,0.5782621560311668,0.5691435941689122,,,10139,2,1823,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_4d7204a3df7f4ac9d62a915b,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T112020Z,measured,MC3/HRD maf_only_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,,gpu_hist,3.4
mc3_main,os_event,binary,signatures_plus_MAF_stack,xgboost,auroc,0.6670939995166884,0.6670939995166884,0.4440053733638361,0.6193569070772165,0.5854620771279219,0.5755421678142578,,,10139,2,2005,5,5,1,True,5-fold StratifiedKFold,none,main_manuscript_complete_panel,XGBoost,main_complete_panel_mc3_id_plus_best_gene_locus_multiscale_stack_9b80a6853e563772f3b369f5,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,0,20260522T112020Z,measured,MC3/HRD id_plus_best_gene_locus_multiscale_stack; TCGA MAF gene/locus/event stack,,gpu_hist,3.973
