spearman	pearson	r2	mae	repeat	fold	n_train	n_test	suite	subset	endpoint	task	model	model_label	auroc	auprc	balanced_acc	brier
0.6892373840991058	0.6976737717310074	0.486732680584139	3.887546316369788	1	4	618	154	main	all	HRD_TAI	regression	locked_uga_sbs	Locked UGA SBS96				
0.6582361964363399	0.6893260685785649	0.4711732145702546	3.967185240287285	1	5	618	154	main	all	HRD_TAI	regression	locked_uga_sbs	Locked UGA SBS96				
0.6740529535391409	0.6716979810048133	0.4504497987928372	4.4076615641194	1	1	617	155	main	all	HRD_TAI	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.7129389745725541	0.7654619154661532	0.5513278647261314	3.849182919533022	1	2	617	155	main	all	HRD_TAI	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6256336184197854	0.6591735507657407	0.4307994237122945	4.408954481025795	1	3	618	154	main	all	HRD_TAI	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6312983332597242	0.7254346729249691	0.4492757371807145	3.82173685903673	1	4	618	154	main	all	HRD_TAI	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6007241707921721	0.7151212265605669	0.5109743414317476	4.108920617537065	1	5	618	154	main	all	HRD_TAI	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.6407684831350062	0.6967535478766733	0.4849490659538431	4.330064287493306	1	1	617	155	main	all	HRD_TAI	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6053716925589148	0.68738849583647	0.4620715414219649	3.633609879401422	1	2	617	155	main	all	HRD_TAI	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.641103046953914	0.6835255921339549	0.456470990360559	4.1249324501334845	1	3	618	154	main	all	HRD_TAI	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6045972916909389	0.7137845074442241	0.5002060387906213	4.445898833212914	1	4	618	154	main	all	HRD_TAI	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.7056270495378475	0.7462321369455108	0.5476137578006287	3.9243207473259454	1	5	618	154	main	all	HRD_TAI	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.6435093782358858	0.6765500105157527	0.456340449892465	4.169602849406581	1	1	617	155	main	all	HRD_TAI	regression	standard_sbs	Standard SBS96				
0.6802315844361007	0.735800002302729	0.5390148175308141	4.206531343152446	1	2	617	155	main	all	HRD_TAI	regression	standard_sbs	Standard SBS96				
0.6742144522201491	0.7894159528199265	0.6215542255445494	3.507160477824025	1	3	618	154	main	all	HRD_TAI	regression	standard_sbs	Standard SBS96				
0.6350437356072968	0.692424690222453	0.4789482412274798	4.445472636780181	1	4	618	154	main	all	HRD_TAI	regression	standard_sbs	Standard SBS96				
0.6575458012761101	0.6694736883427548	0.4421843925881601	4.105248825890677	1	5	618	154	main	all	HRD_TAI	regression	standard_sbs	Standard SBS96				
0.6473560633794111	0.7008183750848679	0.4910305888343709	4.359246487771311	1	1	617	155	main	all	HRD_TAI	regression	standard_sbs_id	Standard SBS96+ID83				
0.633335626195853	0.6649071742354236	0.4371108766063756	4.276398320351878	1	2	617	155	main	all	HRD_TAI	regression	standard_sbs_id	Standard SBS96+ID83				
0.7468680494492947	0.7991395121538188	0.6294668590634984	3.644772721575452	1	3	618	154	main	all	HRD_TAI	regression	standard_sbs_id	Standard SBS96+ID83				
0.6788452505162751	0.7544178627249027	0.5619461306588274	4.046948525812719	1	4	618	154	main	all	HRD_TAI	regression	standard_sbs_id	Standard SBS96+ID83				
0.7115709551622347	0.7496072329352998	0.5573636602903635	3.6357133140811673	1	5	618	154	main	all	HRD_TAI	regression	standard_sbs_id	Standard SBS96+ID83				
0.2729622358346151	0.3236219985885941	0.0984906988467512	0.7119440910245833	1	1	617	155	main	all	PARPi7	regression	burden_only	Burden only				
0.1897475189619214	0.2370007189976814	0.0365763528790218	0.7360709739301818	1	2	617	155	main	all	PARPi7	regression	burden_only	Burden only				
0.1630051374489703	0.2118931808603268	0.021967375455921	0.8305924714340728	1	3	618	154	main	all	PARPi7	regression	burden_only	Burden only				
0.0694572341951011	0.0702345468853953	-0.1378430097014982	0.7591934603642347	1	4	618	154	main	all	PARPi7	regression	burden_only	Burden only				
0.0604098571430936	0.090662467225773	-0.0814704769520515	0.9199913134629144	1	5	618	154	main	all	PARPi7	regression	burden_only	Burden only				
0.2857667679650299	0.263405585065434	0.0496685571904109	0.7822054329267779	1	1	617	155	main	all	PARPi7	regression	locked_uga_sbs	Locked UGA SBS96				
0.2262463634950965	0.2642186258623659	0.0564152102465335	0.8408912346096049	1	2	617	155	main	all	PARPi7	regression	locked_uga_sbs	Locked UGA SBS96				
0.1870513879977174	0.1789767461300699	-0.0592367513153386	0.7938451693224133	1	3	618	154	main	all	PARPi7	regression	locked_uga_sbs	Locked UGA SBS96				
0.2054517704629093	0.2335450289180494	0.0354943275094871	0.7714896204322771	1	4	618	154	main	all	PARPi7	regression	locked_uga_sbs	Locked UGA SBS96				
0.1820950841348129	0.2143123662527104	-0.0174155394139903	0.6987387633690344	1	5	618	154	main	all	PARPi7	regression	locked_uga_sbs	Locked UGA SBS96				
0.2069705050702426	0.2285661808795866	-0.008776328983729	0.8289396512703961	1	1	617	155	main	all	PARPi7	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.2079448419467614	0.2467369471768606	0.0309577742672507	0.7605929880035462	1	2	617	155	main	all	PARPi7	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.280795687730832	0.3774220974897285	0.1081710627648417	0.8382777449479893	1	3	618	154	main	all	PARPi7	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.0810964665493362	0.0897205526943015	-0.1792131311568039	0.7983131033356237	1	4	618	154	main	all	PARPi7	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.1951460736935954	0.19297833338133	-0.0371077690274637	0.7010336343836203	1	5	618	154	main	all	PARPi7	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.2738321107628754	0.2585325747398339	0.045747235866359	0.7096152837288802	1	1	617	155	main	all	PARPi7	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.282798514386046	0.2339179954120968	0.045095998593666	0.8401637003451803	1	2	617	155	main	all	PARPi7	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.0812113356122682	0.1185238228378438	-0.0953404670221	0.7753357997384919	1	3	618	154	main	all	PARPi7	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.2339612474193909	0.2501864696084501	0.0098404684252539	0.8322030346058047	1	4	618	154	main	all	PARPi7	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.2103756884764718	0.2518479674820952	-0.0302033478117762	0.7580494882752756	1	5	618	154	main	all	PARPi7	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.2278091444676523	0.2432645053653614	0.0506101381808925	0.8638735029835432	1	1	617	155	main	all	PARPi7	regression	standard_sbs	Standard SBS96				
0.230799535626716	0.249051833785939	0.0319796949427518	0.7566965452234311	1	2	617	155	main	all	PARPi7	regression	standard_sbs	Standard SBS96				
0.1316124538169087	0.1980958724785315	-0.0309625025930115	0.7253659583555655	1	3	618	154	main	all	PARPi7	regression	standard_sbs	Standard SBS96				
0.2667651308651312	0.3256448303898083	0.098139260455095	0.8140521821722659	1	4	618	154	main	all	PARPi7	regression	standard_sbs	Standard SBS96				
0.1043830840807778	0.15098617173566	-0.0601492329548443	0.7133149284491426	1	5	618	154	main	all	PARPi7	regression	standard_sbs	Standard SBS96				
0.2818043612952415	0.3062462065851188	0.0772652106606679	0.762156430999874	1	1	617	155	main	all	PARPi7	regression	standard_sbs_id	Standard SBS96+ID83				
0.2608857482883145	0.2669805831617232	0.0593804212710894	0.7943230529536607	1	2	617	155	main	all	PARPi7	regression	standard_sbs_id	Standard SBS96+ID83				
0.1096630837925569	0.1704087730561234	-0.020109853888137	0.80030581800503	1	3	618	154	main	all	PARPi7	regression	standard_sbs_id	Standard SBS96+ID83				
0.2595244647272304	0.3387774216131308	0.1133714360853886	0.7532770829475873	1	4	618	154	main	all	PARPi7	regression	standard_sbs_id	Standard SBS96+ID83				
0.221251274267183	0.1824345562651653	-0.0419644549348676	0.7499811447513635	1	5	618	154	main	all	PARPi7	regression	standard_sbs_id	Standard SBS96+ID83				
0.287411004867842	0.2946233425130588	0.0637031306957259	0.4262319603588576	1	1	617	155	main	all	eCARD	regression	burden_only	Burden only				
0.4298129430235219	0.4257081981461332	0.1802263597190412	0.4055186558998976	1	2	617	155	main	all	eCARD	regression	burden_only	Burden only				
0.3030483753763747	0.3358924898067923	0.0644673464150999	0.411844945615259	1	3	618	154	main	all	eCARD	regression	burden_only	Burden only				
0.3062098923733167	0.2895333482801833	0.0471162093535686	0.4351675656468983	1	4	618	154	main	all	eCARD	regression	burden_only	Burden only				
0.3168237289077545	0.3072046556238146	0.0689621756131276	0.4441991754879812	1	5	618	154	main	all	eCARD	regression	burden_only	Burden only				
0.4153878379684831	0.3711470350551356	0.1179827264433224	0.4273692237451384	1	1	617	155	main	all	eCARD	regression	locked_uga_sbs	Locked UGA SBS96				
0.4022435665042869	0.3840183555657048	0.141924597303837	0.4260273210413994	1	2	617	155	main	all	eCARD	regression	locked_uga_sbs	Locked UGA SBS96				
0.2618875116028816	0.2837282251995336	0.0310502667332808	0.4400220115986678	1	3	618	154	main	all	eCARD	regression	locked_uga_sbs	Locked UGA SBS96				
0.292815079076369	0.2728208539305781	0.0282228063043024	0.4280997126112995	1	4	618	154	main	all	eCARD	regression	locked_uga_sbs	Locked UGA SBS96				
0.3415644722349101	0.3245641163345084	0.0776616786030491	0.4159111502158951	1	5	618	154	main	all	eCARD	regression	locked_uga_sbs	Locked UGA SBS96				
0.3672929768510083	0.3776713601161331	0.1327707830060022	0.3867492397922565	1	1	617	155	main	all	eCARD	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.3251976452561763	0.3326177343253422	0.1061159499142451	0.4538404716610981	1	2	617	155	main	all	eCARD	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.4077002061821796	0.407350925387365	0.1572841283740046	0.3832202340190771	1	3	618	154	main	all	eCARD	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.2488101398917338	0.2455596543155998	0.0193451630579969	0.4911207939163817	1	4	618	154	main	all	eCARD	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.1565195105182276	0.1695901680653423	-0.074544589765372	0.4485166604347865	1	5	618	154	main	all	eCARD	regression	locked_uga_sbs_id_pooled	Locked pooled UGA SBS+ID				
0.3818088216694398	0.3675114413852953	0.1302159902482409	0.4203006635886815	1	1	617	155	main	all	eCARD	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.3448828146715813	0.317008424121316	0.0605550714856721	0.4027681441313797	1	2	617	155	main	all	eCARD	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.2557234037309939	0.2520166644721235	0.015672519140202	0.4450920765084783	1	3	618	154	main	all	eCARD	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.3093835969210051	0.2890806458190291	0.0387277638926077	0.4455119924275229	1	4	618	154	main	all	eCARD	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.3484051685190205	0.3427549615917324	0.1070788735876886	0.4229173229124058	1	5	618	154	main	all	eCARD	regression	locked_uga_sbs_id_separate	Locked separate-block UGA SBS+ID				
0.4451213666346121	0.4577504694435501	0.2018789113189554	0.413961490288694	1	1	617	155	main	all	eCARD	regression	standard_sbs	Standard SBS96				
