suite,endpoint,task,feature_set,feature_label,n,n_features,repeats,outer_folds,primary_metric,primary_metric_name,spearman,r2,mae,auroc,auprc,balanced_accuracy
tcga_mc3,high_stage,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,6404,100,1,5,0.6144280793985935,auroc,,,,0.6144280793985935,0.4782087058828934,0.5417367628173081
tcga_mc3,high_stage,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,6404,125,1,5,0.6189014007923878,auroc,,,,0.6189014007923878,0.4808869252112365,0.5432373033843942
tcga_mc3,high_stage,binary,standard_sbs_exposure,Standard SBS exposures,6404,100,1,5,0.6297503548723297,auroc,,,,0.6297503548723297,0.4971389127084379,0.558223148548626
tcga_mc3,high_stage,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,6404,125,1,5,0.6271815297210974,auroc,,,,0.6271815297210974,0.4893822248482493,0.5577648812536786
tcga_mc3,mmr_gene_mutated,binary,burden_only,Burden only,10224,3,1,5,0.8597411468177276,auroc,,,,0.8597411468177276,0.4570250565356127,0.6190195707705346
tcga_mc3,mmr_gene_mutated,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,10224,100,1,5,0.8555947491723181,auroc,,,,0.8555947491723181,0.4335432849270282,0.6822625786655501
tcga_mc3,mmr_gene_mutated,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,10224,125,1,5,0.8541642394881256,auroc,,,,0.8541642394881256,0.4411786397121131,0.6852321137191122
tcga_mc3,mmr_gene_mutated,binary,standard_sbs_exposure,Standard SBS exposures,10224,100,1,5,0.8507611409991566,auroc,,,,0.8507611409991566,0.4333788952237541,0.6880107477130153
tcga_mc3,mmr_gene_mutated,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,10224,125,1,5,0.8466973783808793,auroc,,,,0.8466973783808793,0.4310758361521274,0.6799191724580533
tcga_mc3,os_event,binary,burden_only,Burden only,10139,3,1,5,0.6231528631262782,auroc,,,,0.6231528631262782,0.3790117104511077,0.5649485624962327
tcga_mc3,os_event,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,10139,100,1,5,0.6421318189204931,auroc,,,,0.6421318189204931,0.4136061807545489,0.5716697397317823
tcga_mc3,os_event,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,10139,125,1,5,0.6499666005701172,auroc,,,,0.6499666005701172,0.4234981550488441,0.5720771101779953
tcga_mc3,os_event,binary,standard_sbs_exposure,Standard SBS exposures,10139,100,1,5,0.6527062057533128,auroc,,,,0.6527062057533128,0.4338067663967623,0.5737215007868012
tcga_mc3,os_event,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,10139,125,1,5,0.6482431313605257,auroc,,,,0.6482431313605257,0.4279935355657898,0.5688172763543579
tcga_mc3,pole_pold1_mutated,binary,burden_only,Burden only,10224,3,1,5,0.8543858697678517,auroc,,,,0.8543858697678517,0.4759443121246427,0.607178495527528
tcga_mc3,pole_pold1_mutated,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,10224,100,1,5,0.8328581790819145,auroc,,,,0.8328581790819145,0.4662050420052333,0.6408516847610557
tcga_mc3,pole_pold1_mutated,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,10224,125,1,5,0.83278555860989,auroc,,,,0.83278555860989,0.4566471944412557,0.6471133150525206
tcga_mc3,pole_pold1_mutated,binary,standard_sbs_exposure,Standard SBS exposures,10224,100,1,5,0.8370088161422514,auroc,,,,0.8370088161422514,0.4487452041728699,0.6543997668010046
tcga_mc3,pole_pold1_mutated,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,10224,125,1,5,0.8380709223223638,auroc,,,,0.8380709223223638,0.4213126632823508,0.6627717124195412
tcga_mc3,smoking_ever,binary,burden_only,Burden only,2798,3,1,5,0.7233030018779647,auroc,,,,0.7233030018779647,0.8656330511897024,0.618536575735982
tcga_mc3,smoking_ever,binary,locked_uga_sbs_exposure,Locked UGA SBS exposures,2798,100,1,5,0.773886737518603,auroc,,,,0.773886737518603,0.9017860003951944,0.6936019924639419
tcga_mc3,smoking_ever,binary,locked_uga_sbs_id_exposure,Locked UGA SBS+ID exposures,2798,125,1,5,0.7710678799248815,auroc,,,,0.7710678799248815,0.9012713753137874,0.6955324943944439
tcga_mc3,smoking_ever,binary,standard_sbs_exposure,Standard SBS exposures,2798,100,1,5,0.7783352023827036,auroc,,,,0.7783352023827036,0.904531630959776,0.7054285854384815
tcga_mc3,smoking_ever,binary,standard_sbs_id_exposure,Standard SBS+ID exposures,2798,125,1,5,0.7713340682167995,auroc,,,,0.7713340682167995,0.90138600811421,0.6964708399641601
