benchmark,endpoint,family,task,representation,metric,score,n_samples,n_classes,n_features,n_folds,model,split_strategy,tuning,n_estimators,max_depth,learning_rate,tree_method,balanced_accuracy_at_0p5,balanced_accuracy_argmax,accuracy,macro_f1,delta_vs_standard,delta_vs_previous_uga_mean
mc3_hrd_kmt2c,hrd_binary_24,hrd,binary,previous_uga_mean_pooled,auroc,0.8209482985930348,772,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.749988168240854,,,,-0.019153927805986126,0.0
mc3_hrd_kmt2c,hrd_binary_24,hrd,binary,standard_sbs96_id83,auroc,0.8401022263990209,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.7692266086121684,,,,0.0,0.019153927805986126
mc3_hrd_kmt2c,hrd_binary_24,hrd,binary,uga_rbf_kernel_mean,auroc,0.8128452338293657,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.7444678074736152,,,,-0.027256992569655192,-0.008103064763669066
mc3_hrd_kmt2c,hrd_binary_33,hrd,binary,previous_uga_mean_pooled,auroc,0.8586407396816319,772,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.775235916499857,,,,-0.021518444380897783,0.0
mc3_hrd_kmt2c,hrd_binary_33,hrd,binary,standard_sbs96_id83,auroc,0.8801591840625297,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.8020922695643886,,,,0.0,0.021518444380897783
mc3_hrd_kmt2c,hrd_binary_33,hrd,binary,uga_rbf_kernel_mean,auroc,0.8442792234613796,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.7674276363867443,,,,-0.03587996060115006,-0.01436151622025228
mc3_hrd_kmt2c,hrd_binary_42,hrd,binary,previous_uga_mean_pooled,auroc,0.9016345123258308,772,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.807534833869239,,,,-0.02103429796355838,0.0
mc3_hrd_kmt2c,hrd_binary_42,hrd,binary,standard_sbs96_id83,auroc,0.9226688102893892,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.822690246516613,,,,0.0,0.02103429796355838
mc3_hrd_kmt2c,hrd_binary_42,hrd,binary,uga_rbf_kernel_mean,auroc,0.8852893890675241,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.7837513397642015,,,,-0.037379421221865106,-0.016345123258306726
mc3_hrd_kmt2c,luad_kmt2c_mutated,mc3_kmt2c_supportive,binary,previous_uga_mean_pooled,auroc,0.7152518656716418,515,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6427571961620469,,,,0.050839552238805985,0.0
