Candidate,Sample,Burden,MAE,Cosine,Top1_Process_Match,Reconstruction_Error
fractional_pad,SIM-0112,300,0.005073568191249758,0.9987641560622053,1.0,0.003333333333333341
fractional_pad,SIM-0113,300,0.06527782097463035,0.7236421113305606,1.0,0.0023570226039551735
fractional_pad,SIM-0114,300,0.012729773076707042,0.995526737215164,1.0,0.0023570226039551735
fractional_pad,SIM-0115,300,0.002451987550981841,0.9997464793950707,1.0,0.003333333333333327
fractional_pad,SIM-0116,300,0.019193056514194468,0.9877180360642166,1.0,2.3714374201337736e-16
fractional_pad,SIM-0117,300,0.010437757169338664,0.9929952150530531,0.0,0.00527046276694728
fractional_pad,SIM-0118,300,0.05875925217572123,0.822473387566113,1.0,0.0117851130197758
fractional_pad,SIM-0119,300,0.09874927172873936,0.21018865747261717,0.0,0.009428090415820616
fractional_pad,SIM-0120,300,0.01209746591479643,0.9980683069402194,1.0,0.006666666666666654
fractional_pad,SIM-0121,300,0.1046338023245581,0.20724237955974922,0.0,0.00745355992499931
fractional_pad,SIM-0122,300,0.0053479127712408505,0.9985294139428313,1.0,0.004714045207910308
fractional_pad,SIM-0123,300,0.06366828650645319,0.7135712796842307,1.0,0.004714045207910308
fractional_pad,SIM-0124,300,0.0992450288184102,0.3934645115453265,0.0,0.01178511301977579
fractional_pad,SIM-0125,300,0.0040966757515003,0.9995265454383664,1.0,0.006695091971282945
fractional_pad,SIM-0126,300,0.004144677429803332,0.9994494989624793,1.0,0.007453559924999304
fractional_pad,SIM-0127,300,0.08714139777684121,0.3754609195932891,0.0,0.00745355992499931
fractional_pad,SIM-0128,300,0.009131632963532758,0.995246107459459,1.0,0.003333333333333327
fractional_pad,SIM-0129,300,0.00677390036823476,0.9985139353004308,1.0,0.003333333333333355
fractional_pad,SIM-0130,300,0.016283564437306823,0.9832968882768233,1.0,0.0023570226039551735
fractional_pad,SIM-0131,300,0.005011031427127603,0.9989229583501362,1.0,0.006078811886508275
fractional_pad,SIM-0132,300,0.0028533726556477256,0.9997717867167533,1.0,0.005333509487596965
fractional_pad,SIM-0133,300,0.007914364816344027,0.9944963030869384,1.0,0.01390811694084834
fractional_pad,SIM-0134,300,0.01236983268565229,0.9909572851978024,1.0,0.014337208778404387
fractional_pad,SIM-0135,300,0.005335137276425422,0.9985005040673061,1.0,0.012692955176439856
fractional_pad,SIM-0136,300,0.0035169625122587703,0.9997350153705095,1.0,0.01269295517643984
fractional_pad,SIM-0137,300,0.03786439955045017,0.8750829140441211,1.0,0.003333333333333327
fractional_pad,SIM-0138,300,0.01180335535338146,0.9897262849323355,1.0,0.003333333333333327
fractional_pad,SIM-0139,300,0.12452730639613062,0.0008639128557932388,0.0,0.012018504251546632
fractional_pad,SIM-0140,300,0.05666079410404705,0.8387764036593098,1.0,0.003333333333333348
fractional_pad,SIM-0141,300,0.0696542408290659,0.6335898150212882,0.0,0.005270462766947297
fractional_pad,SIM-0142,300,0.091317661715581,0.5159123171775736,0.0,0.00527046276694728
fractional_pad,SIM-0143,300,0.004786444368560882,0.999176959097074,1.0,0.004048052983610411
fractional_pad,SIM-0144,300,0.1126748749993861,0.04872182431436665,0.0,0.00333333333333332
fractional_pad,SIM-0145,300,0.008337737267058965,0.9942569942677719,1.0,0.009880869614885622
fractional_pad,SIM-0146,300,0.00636195826837946,0.9981407638815247,1.0,0.003333333333333341
fractional_pad,SIM-0147,300,0.016766815346921704,0.9830215994129781,1.0,0.006666666666666682
fractional_pad,SIM-0148,300,0.01833083059002961,0.9857235231139779,1.0,0.0023570226039551735
fractional_pad,SIM-0149,300,0.007410491966989356,0.9965544802606637,1.0,0.009718253158075497
fractional_pad,SIM-0150,300,0.00861332327850243,0.9947406112903844,1.0,0.007071067811865481
fractional_pad,SIM-0151,300,0.09382705468002955,0.30753883516382424,0.0,0.003333333333333327
fractional_pad,SIM-0152,300,0.07858000230475441,0.445524476669035,0.0,0.005270462766947289
fractional_pad,SIM-0153,300,0.016741998366226522,0.9798998981368421,1.0,0.005270462766947297
fractional_pad,SIM-0154,300,0.009185906845692156,0.9976179559475319,1.0,0.007071067811865481
fractional_pad,SIM-0155,300,0.005755748907552861,0.9995380614256717,1.0,0.008201541658882445
fractional_pad,SIM-0156,300,0.013066758469295826,0.9971832810565043,1.0,0.003333333333333355
fractional_pad,SIM-0157,300,0.0033326183195952555,0.9997552895949664,1.0,0.013743685418725535
fractional_pad,SIM-0158,300,0.03709003746916298,0.9522536916212307,1.0,3.805652793121308e-16
fractional_pad,SIM-0159,300,0.0056192623102120556,0.9993351281928206,1.0,0.004714045207910347
fractional_pad,SIM-0160,300,0.0024337533967160813,0.9999473544037166,1.0,0.02053436034227732
fractional_pad,SIM-0161,300,0.0020885844393378076,0.9998479454276006,1.0,0.0054717831457523425
fractional_pad,SIM-0162,300,0.0053335070607630295,0.996661956862404,1.0,0.00527046276694728
fractional_pad,SIM-0163,300,0.008202656690783652,0.9981598645571249,1.0,0.009993858556130586
fractional_pad,SIM-0164,300,0.008798564154948401,0.99681745478978,1.0,0.009718253158075505
fractional_pad,SIM-0165,300,0.0073586802500269135,0.9972075024788191,0.0,0.0023570226039551735
fractional_pad,SIM-0166,300,0.07162022188844677,0.5487823572935114,0.0,0.005270462766947297
fractional_pad,SIM-0167,300,0.006063482610829417,0.9983768263918874,1.0,0.00745355992499931
fractional_pad,SIM-0168,300,0.0038963950078020086,0.9995966510345785,1.0,0.007071067811865521
fractional_pad,SIM-0169,300,0.006226297963588331,0.9992270925202414,1.0,0.008498365855987974
fractional_pad,SIM-0170,300,0.014977334046929544,0.9922946608895234,1.0,0.003333333333333355
fractional_pad,SIM-0171,300,0.010762484946190193,0.9939466372062883,1.0,0.003333333333333327
fractional_pad,SIM-0172,300,0.028351257251627047,0.9518667922926258,1.0,0.00527046276694728
fractional_pad,SIM-0173,300,0.050017057021410224,0.8999729264642281,1.0,0.012018504251546632
fractional_pad,SIM-0174,300,0.03950278599242578,0.8990630368031647,1.0,7.850462293418876e-17
fractional_pad,SIM-0175,300,0.004324926048380368,0.9995019172181476,1.0,0.008184337353203492
fractional_pad,SIM-0176,300,0.05917083871699676,0.7182085353939345,1.0,0.009718253158075488
fractional_pad,SIM-0177,300,0.0047939574385706864,0.9995028232844682,1.0,0.007453559924999291
