benchmark,endpoint,representation,learner,repeat,fold,metric,score,n_test
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,4,macro_auroc,0.6486306420229314,50
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,5,macro_auroc,0.6686473514773779,44
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,1,macro_auroc,0.9352968937067608,1093
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,2,macro_auroc,0.9358781567778859,1093
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,3,macro_auroc,0.9417318141935846,1092
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,4,macro_auroc,0.9407214044627235,1092
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,5,macro_auroc,0.9318530184788794,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,1,macro_auroc,0.9544284650641963,1093
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,2,macro_auroc,0.9585735319543854,1093
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,3,macro_auroc,0.963192382394209,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,4,macro_auroc,0.9597400215398227,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,5,macro_auroc,0.9536783029863495,1092
mc3_main,os_event,MAF_stack_only,xgboost,1,1,auroc,0.6552686303930085,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,2,auroc,0.6579284392392764,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,3,auroc,0.6475867728301212,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,4,auroc,0.6710347553152494,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,5,auroc,0.6411559712955958,2027
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,1,auroc,0.661827737319842,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,2,auroc,0.6783370930028945,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,3,auroc,0.6587398869466791,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,4,auroc,0.6818651484604107,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,5,auroc,0.657568150033244,2027
