experiment_id,source_file,Source,Target,Coordinate_System,Top1_Accuracy,MRR,Median_True_Rank,Note,Source_Process,Nearest_Process,True_Process_Rank,True_Process_Distance,Nearest_Distance,Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error,Target_Modality,Element,Specification,N,Median_Burden,Mean_MAE,Median_MAE,Mean_Cosine,Top1_Process_Accuracy,Mean_Modal_Mass_Error,Pairs,Mean_Top1_Accuracy,Mean_MRR,Candidate,Reconstruction_Error,Label,Mean_Reconstruction_Error,Runtime_Sec,Payload_Block_Dim,Payload_Pair_Dim,Full_UGA_Dim_Selected,Exact_Enumerative_Min_Pair_Dim,Slot_Local_Min_Pair_Dim,Direct_Length_Min_Pair_Dim,Payload_States,Unique_Payload_Vectors,Collision_Count,Collision_Groups,Max_Collision_Bucket,Block_States,Unique_Block_Vectors,Block_Collision_Count,Block_Collision_Groups,Min_Nonzero_Pair_Distance,Empty_To_A_Distance,Empty_To_C_Distance,Empty_To_G_Distance,Empty_To_T_Distance,Binary_Features,Bounded_0_1,Admissible_UGA_Binary_Minimal,Notes,Collision_Group,Bucket_Size,States,Contains_Empty_Ref,Contains_Empty_Alt,Contains_G_Payload,d_payload,Payload_Block_States,Legacy_Pair_Dim,Masked_Pair_Dim,Length_Coded_Pair_Dim,Legacy_Full_UGA_Dim,Masked_Full_UGA_Dim,Length_Coded_Full_UGA_Dim,Length_Saves_Dim_vs_Masked,Length_Over_Exact_Pair_Bits,Signature_Count,Feature_Dim,Signature_Matrix_Rank,Rank_Deficit,Min_Signature_Distance,Min_Nonzero_Signature_Distance
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,SBS,Separate categorical NNLS,1161.0,0.0090707498564706,0.9952231167598652,3.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,SBS,Separate UGA NNLS,1161.0,0.0016211194697142,0.999893844967417,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,DBS,Separate categorical NNLS,86.0,0.0162172415548145,0.988558513234326,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,DBS,Separate UGA NNLS,86.0,0.0040182940552004,0.9992752811572644,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,ID,Separate categorical NNLS,75.0,0.0132699479366685,0.9852180606487893,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,ID,Separate UGA NNLS,75.0,0.0047990362019728,0.9985556787157992,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,SBS,Naive pooled UGA NNLS,1161.0,0.0060110533665672,0.9989214761836188,3.0,3.0,1.0,0.0120272937529929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,DBS,Naive pooled UGA NNLS,86.0,0.0308807873899674,0.9469542198892898,3.0,10.0,0.0,0.0047855235329389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0243,ID,Naive pooled UGA NNLS,75.0,0.0597433386746167,0.7793924765014177,7.0,7.0,1.0,0.007241770220054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanistic_representation,tables\exposure_recovery_patient_metrics.csv,,,,,,,,,,,,,SIM-0244,SBS,Separate categorical NNLS,1153.0,0.0013909601704108,0.9999685008980488,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
