Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0365,DBS,UGA unsupervised bridge,0.016767834720446063,0.9865172618355308,1.0
SIM-0365,DBS,Oracle label bridge,0.016767834720446063,0.9865172618355308,1.0
SIM-0365,DBS,Standard no-bridge cohort mean,0.13367043588055352,0.4515315001456207,0.0
SIM-0365,DBS,Standard random bridge,0.16473153193476434,0.0066512604756516856,0.0
SIM-0069,DBS,UGA unsupervised bridge,0.014400473100267154,0.9935580159685222,1.0
SIM-0069,DBS,Oracle label bridge,0.014400473100267158,0.9935580159685219,1.0
SIM-0069,DBS,Standard no-bridge cohort mean,0.1176477207939553,0.395739524845818,0.0
SIM-0069,DBS,Standard random bridge,0.12089988825547214,0.1377454469178574,0.0
SIM-0505,DBS,UGA unsupervised bridge,0.0037343633620766756,0.999712330868104,1.0
SIM-0505,DBS,Oracle label bridge,0.0037343633620766613,0.9997123308681042,1.0
SIM-0505,DBS,Standard no-bridge cohort mean,0.12993742550296697,0.3961364508910194,0.0
SIM-0505,DBS,Standard random bridge,0.16328293205165925,0.0006688389666240683,0.0
SIM-0377,DBS,UGA unsupervised bridge,0.02104015324432405,0.979090423159027,1.0
SIM-0377,DBS,Oracle label bridge,0.021040153244324043,0.9790904231590268,1.0
SIM-0377,DBS,Standard no-bridge cohort mean,0.12397722905272257,0.4644581374458034,0.0
SIM-0377,DBS,Standard random bridge,0.10161002323691594,0.534756658420374,0.0
SIM-0374,DBS,UGA unsupervised bridge,0.012061284354543017,0.9975891756038124,1.0
SIM-0374,DBS,Oracle label bridge,0.012061284354543017,0.9975891756038124,1.0
SIM-0374,DBS,Standard no-bridge cohort mean,0.13824716717813273,0.35104356343504056,0.0
SIM-0374,DBS,Standard random bridge,0.0304990703744205,0.9765732258937281,1.0
SIM-0199,DBS,UGA unsupervised bridge,0.020990895931991757,0.9824368039748552,1.0
SIM-0199,DBS,Oracle label bridge,0.020990895931991767,0.982436803974855,1.0
SIM-0199,DBS,Standard no-bridge cohort mean,0.11078101639905034,0.4338493739463701,1.0
SIM-0199,DBS,Standard random bridge,0.11505569633392125,0.3704949324059719,0.0
SIM-0113,DBS,UGA unsupervised bridge,0.012048104582984394,0.9966896592157111,1.0
SIM-0113,DBS,Oracle label bridge,0.012048104582984394,0.9966896592157111,1.0
SIM-0113,DBS,Standard no-bridge cohort mean,0.11768686817835387,0.4468106281988419,0.0
SIM-0113,DBS,Standard random bridge,0.10921123199743325,0.40488677607850804,0.0
SIM-0261,DBS,UGA unsupervised bridge,0.007697605468142747,0.9991127874810479,1.0
SIM-0261,DBS,Oracle label bridge,0.007697605468142747,0.9991127874810479,1.0
SIM-0261,DBS,Standard no-bridge cohort mean,0.129779629973476,0.40689655083732484,1.0
SIM-0261,DBS,Standard random bridge,0.1614381310395622,0.005482116002883565,0.0
SIM-0433,DBS,UGA unsupervised bridge,0.014420592262372524,0.9968385762327079,1.0
SIM-0433,DBS,Oracle label bridge,0.01442059226237252,0.9968385762327079,1.0
SIM-0433,DBS,Standard no-bridge cohort mean,0.13369258171226797,0.34809016101392143,0.0
SIM-0433,DBS,Standard random bridge,0.13439478105784383,0.05679407947625677,0.0
SIM-0482,DBS,UGA unsupervised bridge,0.01531665054051292,0.9877387362413446,1.0
SIM-0482,DBS,Oracle label bridge,0.01531665054051292,0.9877387362413446,1.0
SIM-0482,DBS,Standard no-bridge cohort mean,0.11735269038006607,0.5022798637245359,0.0
SIM-0482,DBS,Standard random bridge,0.16226289572646296,0.028023435635620122,0.0
SIM-0407,DBS,UGA unsupervised bridge,0.0070645521971724225,0.997397416736178,1.0
SIM-0407,DBS,Oracle label bridge,0.00706455219717243,0.997397416736178,1.0
SIM-0407,DBS,Standard no-bridge cohort mean,0.11522579188429867,0.43154710650424105,0.0
SIM-0407,DBS,Standard random bridge,0.14424602681501172,0.08318849071580944,0.0
SIM-0477,DBS,UGA unsupervised bridge,0.009299292323039384,0.9976997364003146,1.0
SIM-0477,DBS,Oracle label bridge,0.009299292323039379,0.9976997364003147,1.0
SIM-0477,DBS,Standard no-bridge cohort mean,0.11867430395759637,0.44707438467067767,0.0
SIM-0477,DBS,Standard random bridge,0.061729974926321984,0.8767757704998639,1.0
SIM-0011,DBS,UGA unsupervised bridge,0.016931345338690045,0.9942256271411916,1.0
SIM-0011,DBS,Oracle label bridge,0.016931345338690028,0.9942256271411916,1.0
SIM-0011,DBS,Standard no-bridge cohort mean,0.13540654699166463,0.3646702383646917,0.0
SIM-0011,DBS,Standard random bridge,0.16622165988293627,0.000544981829693656,0.0
SIM-0109,DBS,UGA unsupervised bridge,0.01564361484883915,0.9814712710925964,0.0
SIM-0109,DBS,Oracle label bridge,0.015643614848839155,0.9814712710925966,0.0
SIM-0109,DBS,Standard no-bridge cohort mean,0.10640071600551991,0.5903505804873433,0.0
SIM-0109,DBS,Standard random bridge,0.11731925606997384,0.41561848683039165,0.0
SIM-0044,DBS,UGA unsupervised bridge,0.008283176132344987,0.9957497772227233,0.0
SIM-0044,DBS,Oracle label bridge,0.008283176132344984,0.9957497772227232,0.0
SIM-0044,DBS,Standard no-bridge cohort mean,0.1264244867507249,0.4635960437010998,0.0
SIM-0044,DBS,Standard random bridge,0.1187839621584355,0.3049744634966109,0.0
SIM-0082,DBS,UGA unsupervised bridge,0.0248172864280454,0.968728506776088,1.0
