Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Supplementary,HRD LOH,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.6964029404836654,0.6412710165341605,Selected in 2 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.7102781470888454,0.7192054316820156,Selected in 1 of 5 outer folds.
Supplementary,HRD LOH,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.7167915356701959,0.6189364944778306,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,2,5,0.4,0.372291303918295,0.3035985282523,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,Elastic net,Spearman r,Compact biology + hotspot summaries,125,125,Compact biological annotation core; cancer hotspot summaries,No,No,No,3,5,0.6,0.38271069455650325,0.31955423188218496,Selected in 3 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.3869658952870317,0.3420209567598986,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.4489992233571165,0.372475500229127,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Bio MAF v4,XGBoost,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,3,5,0.6,0.372707946993855,0.35900250615442414,Selected in 3 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.4354991535395951,0.3030706086740229,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + hotspot summaries,307,125,Compact biological annotation core; cancer hotspot summaries,Yes,No,No,1,5,0.2,0.3710893692795279,0.4187719640342376,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.3993906074288646,0.1856848075043664,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.42844604312214385,0.35606234406752335,Selected in 2 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + evidence-confidence controls,319,137,Compact biological annotation core; external evidence-confidence controls,Yes,No,No,1,5,0.2,0.3813489135043278,0.4189576823416782,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.3493649470112575,0.4112855595080484,Selected in 1 of 5 outer folds.
Supplementary,PARPi7,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,3,5,0.6,0.4174363783344779,0.33759926097455545,Selected in 3 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,Elastic net,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,4,5,0.8,0.5076540437222966,0.5393224847850094,Selected in 4 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,Elastic net,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.4897300197626704,0.5045832446860461,Selected in 1 of 5 outer folds.
