alias	approved_symbol	hgnc_id	source
42A	S100A4	HGNC:10494	alias_symbol
42C	S100A10	HGNC:10487	alias_symbol
47_11	KIR2DL1	HGNC:6329	alias_symbol
4832404P21RIK	ZSWIM8	HGNC:23528	alias_symbol
4833431A01RIK	THAP1	HGNC:20856	alias_symbol
4930513O09RIK	ZCCHC13	HGNC:31749	alias_symbol
4933409D10RIK	ZNF474	HGNC:23245	alias_symbol
4EHP	EIF4E2	HGNC:3293	alias_symbol
4E_BP1	EIF4EBP1	HGNC:3288	alias_symbol
4E_BP3	EIF4EBP3	HGNC:3290	alias_symbol
4E_T	EIF4ENIF1	HGNC:16687	alias_symbol
4F2	SLC3A2	HGNC:11026	alias_symbol
4F2HC	SLC3A2	HGNC:11026	alias_symbol
4F5	SERF1A	HGNC:10755	alias_symbol
4F5REL	SERF2	HGNC:10757	alias_symbol
4F_SE9_6_7_8	CYP4F30P	HGNC:25270	alias_symbol
4HPPD	HPD	HGNC:5147	alias_symbol
4P11	CRYZL1	HGNC:2420	alias_symbol
4T2HC	SLC3A2	HGNC:11026	alias_symbol
4_1B	EPB41L3	HGNC:3380	alias_symbol
4_1BB	TNFRSF9	HGNC:11924	alias_symbol
4_1BBL	TNFSF9	HGNC:11939	alias_symbol
4_1BB_L	TNFSF9	HGNC:11939	alias_symbol
4_1G	EPB41L2	HGNC:3379	alias_symbol
4_1N	EPB41L1	HGNC:3378	alias_symbol
4_1R	EPB41	HGNC:3377	alias_symbol
4_1_G	EPB41L2	HGNC:3379	alias_symbol
4_HPPD	HPD	HGNC:5147	alias_symbol
4_HPPD_L	HPDL	HGNC:28242	alias_symbol
51A	SORL1_AS1	HGNC:55594	alias_symbol
52	SCARNA10	HGNC:32567	alias_symbol
53BP1	TP53BP1	HGNC:11999	alias_symbol
53BP2	TP53BP2	HGNC:12000	alias_symbol
54TM	YIF1A	HGNC:16688	alias_symbol
59K	PDCD7	HGNC:8767	alias_symbol
59_DAP	SNTB1	HGNC:11168	alias_symbol
5HTR2C	HTR2C	HGNC:5295	alias_symbol
5MP1	BZW2	HGNC:18808	alias_symbol
5MP2	BZW1	HGNC:18380	alias_symbol
5PTASE	INPP5A	HGNC:6076	alias_symbol
5T4	TPBG	HGNC:12004	alias_symbol
5T4_AG	TPBG	HGNC:12004	alias_symbol
5_AHIF_1A	HIF1A_AS1	HGNC:43014	alias_symbol
5_HT1A	HTR1A	HGNC:5286	alias_symbol
5_HT1B	HTR1B	HGNC:5287	alias_symbol
5_HT1D	HTR1D	HGNC:5289	alias_symbol
5_HT1DB	HTR1B	HGNC:5287	alias_symbol
5_HT1E	HTR1E	HGNC:5291	alias_symbol
5_HT1F	HTR1F	HGNC:5292	alias_symbol
5_HT2A	HTR2A	HGNC:5293	alias_symbol
5_HT2B	HTR2B	HGNC:5294	alias_symbol
5_HT2C	HTR2C	HGNC:5295	alias_symbol
5_HT3A	HTR3A	HGNC:5297	alias_symbol
5_HT3B	HTR3B	HGNC:5298	alias_symbol
5_HT3C2	HTR3C2P	HGNC:53986	alias_symbol
5_HT3R	HTR3A	HGNC:5297	alias_symbol
5_HT4	HTR4	HGNC:5299	alias_symbol
5_HT5A	HTR5A	HGNC:5300	alias_symbol
5_HT5B	HTR5BP	HGNC:16291	alias_symbol
5_HT6	HTR6	HGNC:5301	alias_symbol
5_HT6R	HTR6	HGNC:5301	alias_symbol
5_HT7	HTR7	HGNC:5302	alias_symbol
5_HTT	SLC6A4	HGNC:11050	alias_symbol
5_HT_2B	HTR2B	HGNC:5294	alias_symbol
5_LOX	ALOX5	HGNC:435	alias_symbol
5_OPASE	OPLAH	HGNC:8149	alias_symbol
5_OY11_1	ZNF280B	HGNC:23022	alias_symbol
60B8AG	S100A8	HGNC:10498	alias_symbol
60H	HMGN2P12	HGNC:4991	alias_symbol
64KD	LMOD1	HGNC:6647	alias_symbol
6530404F10RIK	KCTD18	HGNC:26446	alias_symbol
6530406P05RIK	GPR165P	HGNC:21462	alias_symbol
66CTG	CDKN2B_AS1	HGNC:34341	alias_symbol
6A3_5	ARID1B	HGNC:18040	alias_symbol
6C6_AG	BCAP31	HGNC:16695	alias_symbol
6CKINE	CCL21	HGNC:10620	alias_symbol
6PGL	PGLS	HGNC:8903	alias_symbol
6_16	IFI6	HGNC:4054	alias_symbol
6_3	PLXNA3	HGNC:9101	alias_symbol
6_8PL	ATP5MJ	HGNC:1188	alias_symbol
71_7A	OFD1	HGNC:2567	alias_symbol
71_7A2	OFD1P18Y	HGNC:2589	alias_symbol
71_7A3	OFD1P17	HGNC:1332	alias_symbol
71_7A5	OFD1P17	HGNC:1332	alias_symbol
721P	AKAP17A	HGNC:18783	alias_symbol
753P9	SASH3	HGNC:15975	alias_symbol
76P	TUBGCP4	HGNC:16691	alias_symbol
7A5	MACC1	HGNC:30215	alias_symbol
7B2	SCG5	HGNC:10816	alias_symbol
7B4	CDH5	HGNC:1764	alias_symbol
7H3	SYDE1	HGNC:25824	alias_symbol
7L1A	RN7SL1	HGNC:10038	alias_symbol
7L23	RN7SL7P	HGNC:10042	alias_symbol
7L28	RN7SL4P	HGNC:10039	alias_symbol
7L30_1	RN7SL2	HGNC:23134	alias_symbol
7L30_2	RN7SL3	HGNC:23135	alias_symbol
7L63	RN7SL8P	HGNC:10043	alias_symbol
7L7	RN7SL6P	HGNC:10041	alias_symbol
7LEM1	RN7SL5P	HGNC:10040	alias_symbol
7SK	RN7SK	HGNC:10037	alias_symbol
7SL	RN7SL1	HGNC:10038	alias_symbol
7SL1C	RN7SL2	HGNC:23134	alias_symbol
7_60	OGFR	HGNC:15768	alias_symbol
80K_H	PRKCSH	HGNC:9411	alias_symbol
80K_L	MARCKS	HGNC:6759	alias_symbol
821D11_7	SREBF2_AS1	HGNC:53953	alias_symbol
82_FIP	NUFIP2	HGNC:17634	alias_symbol
87U6	GNAI3	HGNC:4387	alias_symbol
8B	SYNE1	HGNC:17089	alias_symbol
8D6	CD320	HGNC:16692	alias_symbol
8D6A	CD320	HGNC:16692	alias_symbol
8HS20	VPREB3	HGNC:12710	alias_symbol
90K	LGALS3BP	HGNC:6564	alias_symbol
9630046K23RIK	POGLUT1	HGNC:22954	alias_symbol
9F	FAM50A	HGNC:18786	alias_symbol
9G8	SLU7	HGNC:16939	alias_symbol
9_27	IFITM1	HGNC:5412	alias_symbol
A1	ATP6V0A1	HGNC:865	alias_symbol
A10	IGKV6D_21	HGNC:5837	alias_symbol
A121	EIF1	HGNC:3249	alias_symbol
A12_2	POLR1H	HGNC:13182	alias_symbol
A14GALT	A4GALT	HGNC:18149	alias_symbol
A15	TSPAN7	HGNC:11854	alias_symbol
A170	SQSTM1	HGNC:11280	alias_symbol
A1A	SERPINA1	HGNC:8941	alias_symbol
A1AG1	ORM1	HGNC:8498	alias_symbol
A1AT	SERPINA1	HGNC:8941	alias_symbol
A1B	SNTB1	HGNC:11168	alias_symbol
A1BG	A1BG	HGNC:5	approved_symbol
A1BGAS	A1BG_AS1	HGNC:37133	previous_symbol
A1BG_AS	A1BG_AS1	HGNC:37133	previous_symbol
A1BG_AS1	A1BG_AS1	HGNC:37133	approved_symbol
A1CF	A1CF	HGNC:24086	approved_symbol
A1S9T	UBA1	HGNC:12469	previous_symbol
A1U	UBQLN4	HGNC:1237	alias_symbol
A1_5	ZNF2	HGNC:12991	alias_symbol
A2	ATP6V0A2	HGNC:18481	alias_symbol
A20	IGKV1_27	HGNC:5735	alias_symbol
A211C6_1	LYRM1	HGNC:25074	alias_symbol
A214N16_3	PRUNE2	HGNC:25209	alias_symbol
A26	IGKV6_21	HGNC:5836	alias_symbol
A26A1	POTEA	HGNC:33893	previous_symbol
A26B1	POTEB	HGNC:33734	previous_symbol
A26B2	POTEC	HGNC:33894	previous_symbol
A26B3	POTED	HGNC:23822	previous_symbol
A26C1	POTEE	HGNC:33895	alias_symbol
A26C1A	POTEE	HGNC:33895	previous_symbol
A26C1B	POTEF	HGNC:33905	previous_symbol
A26C2	POTEG	HGNC:33896	previous_symbol
A26C3	POTEH	HGNC:133	previous_symbol
A28_RGS14	RGS16	HGNC:9997	alias_symbol
A2AP	SERPINF2	HGNC:9075	alias_symbol
A2BP1	RBFOX1	HGNC:18222	alias_symbol
A2D	ATXN2L	HGNC:31326	alias_symbol
A2HS	AHSG	HGNC:349	alias_symbol
A2LD1	GGACT	HGNC:25100	previous_symbol
A2LP	ATXN2L	HGNC:31326	alias_symbol
A2M	A2M	HGNC:7	approved_symbol
A2ML1	A2ML1	HGNC:23336	approved_symbol
A2ML1_AS1	A2ML1_AS1	HGNC:41022	approved_symbol
A2ML1_AS2	A2ML1_AS2	HGNC:41523	approved_symbol
A2MP1	PZP2P	HGNC:56245	previous_symbol
A2MR	LRP1	HGNC:6692	previous_symbol
A2MRAP	LRPAP1	HGNC:6701	previous_symbol
A2M_AS1	A2M_AS1	HGNC:27057	approved_symbol
A2V	ATP6V0A2	HGNC:18481	alias_symbol
A3	TCIRG1	HGNC:11647	alias_symbol
A30	IGKV1_17	HGNC:5733	alias_symbol
A33	GPA33	HGNC:4445	alias_symbol
A34_5	POLR1G	HGNC:24219	alias_symbol
A3A	DAG1	HGNC:2666	alias_symbol
A3AR	ADORA3	HGNC:268	alias_symbol
A3B	SGCB	HGNC:10806	alias_symbol
A3GALNT	ABO	HGNC:79	alias_symbol
A3GALT1	ABO	HGNC:79	alias_symbol
A3GALT2	A3GALT2	HGNC:30005	approved_symbol
A3GALT2P	A3GALT2	HGNC:30005	previous_symbol
A4	ATP6V0A4	HGNC:866	alias_symbol
A43	POLR1F	HGNC:18027	alias_symbol
A4GALT	A4GALT	HGNC:18149	approved_symbol
A4GNT	A4GNT	HGNC:17968	approved_symbol
A4_LSB	PLP2	HGNC:9087	alias_symbol
A6	TWF1	HGNC:9620	alias_symbol
A6L	MT_ATP8	HGNC:7415	alias_symbol
A6PS1	TWF1P1	HGNC:21736	alias_symbol
A6PS2	TWF1P2	HGNC:21737	alias_symbol
A6R	TWF2	HGNC:9621	alias_symbol
A6RP	TWF2	HGNC:9621	alias_symbol
A7NACHR	CHRNA7	HGNC:1960	alias_symbol
A8_51	ZNF3	HGNC:13089	alias_symbol
AA	TEAD1	HGNC:11714	previous_symbol
AAA1	NPSR1_AS1	HGNC:22128	alias_symbol
AAAS	AAAS	HGNC:13666	approved_symbol
AAAT	SLC1A5	HGNC:10943	alias_symbol
AAC1	NAT1	HGNC:7645	previous_symbol
AAC11	API5	HGNC:594	alias_symbol
AAC2	NAT2	HGNC:7646	previous_symbol
AACP	NATP	HGNC:15	previous_symbol
AACS	AACS	HGNC:21298	approved_symbol
AACSL	AACSP1	HGNC:18226	previous_symbol
AACSP1	AACSP1	HGNC:18226	approved_symbol
AACT	SERPINA3	HGNC:16	previous_symbol
AAC_11	API5	HGNC:594	alias_symbol
AADAC	AADAC	HGNC:17	approved_symbol
AADACL1	NCEH1	HGNC:29260	previous_symbol
AADACL2	AADACL2	HGNC:24427	approved_symbol
AADACL2_AS1	AADACL2_AS1	HGNC:50301	approved_symbol
AADACL3	AADACL3	HGNC:32037	approved_symbol
AADACL4	AADACL4	HGNC:32038	approved_symbol
AADACP1	AADACP1	HGNC:50305	approved_symbol
AADAT	AADAT	HGNC:17929	approved_symbol
AADC	DDC	HGNC:2719	alias_symbol
AAED1	PRXL2C	HGNC:16881	previous_symbol
AAF132	CTC1	HGNC:26169	alias_symbol
AAG3	SRSF7	HGNC:10789	alias_symbol
AAGAB	AAGAB	HGNC:25662	approved_symbol
AAIR8193	APOOL	HGNC:24009	alias_symbol
AAK1	AAK1	HGNC:19679	approved_symbol
AAKG	PRKAG2	HGNC:9386	alias_symbol
AAKG2	PRKAG2	HGNC:9386	alias_symbol
AAMDC	AAMDC	HGNC:30205	approved_symbol
AAMP	AAMP	HGNC:18	approved_symbol
AANAT	AANAT	HGNC:19	approved_symbol
AAP	SERPINF2	HGNC:9075	alias_symbol
AAP1	RYBP	HGNC:10480	alias_symbol
AAR2	AAR2	HGNC:15886	approved_symbol
AARD	AARD	HGNC:33842	approved_symbol
AARS	AARS1	HGNC:20	previous_symbol
AARS1	AARS1	HGNC:20	approved_symbol
AARS1P1	AARS1P1	HGNC:49894	approved_symbol
AARS2	AARS2	HGNC:21022	approved_symbol
AARSD1	AARSD1	HGNC:28417	approved_symbol
AARSD1P1	AARSD1P1	HGNC:54994	approved_symbol
AARSL	AARS2	HGNC:21022	previous_symbol
AARSP1	AARS1P1	HGNC:49894	previous_symbol
AASDH	AASDH	HGNC:23993	approved_symbol
AASDHPPT	AASDHPPT	HGNC:14235	approved_symbol
AASDHPPT_AS1	AASDHPPT_AS1	HGNC:58262	approved_symbol
AASDH_DT	AASDH_DT	HGNC:58795	approved_symbol
AASD_PPT	AASDHPPT	HGNC:14235	alias_symbol
AASS	AASS	HGNC:17366	approved_symbol
AAT	SERPINA1	HGNC:8941	alias_symbol
AAT1	CFAP91	HGNC:24010	alias_symbol
AAT1ALPHA	CFAP91	HGNC:24010	alias_symbol
AATBC	AATBC	HGNC:51526	approved_symbol
AATF	AATF	HGNC:19235	approved_symbol
AATK	AATK	HGNC:21	approved_symbol
AATK_AS1	PVALEF	HGNC:40053	previous_symbol
AATYK	AATK	HGNC:21	alias_symbol
AATYK1	AATK	HGNC:21	alias_symbol
AATYK2	LMTK2	HGNC:17880	alias_symbol
AATYK3	LMTK3	HGNC:19295	alias_symbol
AAT_1	CFAP91	HGNC:24010	alias_symbol
AAV	AAVS1	HGNC:22	alias_symbol
AAVR	KIAA0319L	HGNC:30071	alias_symbol
AAVS1	AAVS1	HGNC:22	approved_symbol
AB014085_4	HCG19P	HGNC:31336	alias_symbol
AB023048_2	HCG21	HGNC:31335	alias_symbol
AB023051_1	HCG20	HGNC:31334	alias_symbol
AB023060_6	POLR2LP1	HGNC:31340	alias_symbol
AB073614	CP	HGNC:2295	alias_symbol
ABAD	HSD17B10	HGNC:4800	alias_symbol
ABAT	ABAT	HGNC:23	approved_symbol
ABBA	MTSS2	HGNC:25094	alias_symbol
ABBA_1	MTSS2	HGNC:25094	alias_symbol
ABBP1	HNRNPAB	HGNC:5034	alias_symbol
ABC1	ABCA1	HGNC:29	previous_symbol
ABC16	ABCB11	HGNC:42	alias_symbol
ABC2	ABCA2	HGNC:32	previous_symbol
ABC20	ABCB1	HGNC:40	alias_symbol
ABC28	ABCF2	HGNC:71	alias_symbol
ABC3	ABCA3	HGNC:33	previous_symbol
ABC35	CFTR	HGNC:1884	alias_symbol
ABC36	ABCC8	HGNC:59	alias_symbol
ABC50	ABCF1	HGNC:70	previous_symbol
ABC7	ABCB7	HGNC:48	previous_symbol
ABC8	ABCG1	HGNC:73	alias_symbol
ABCA1	ABCA1	HGNC:29	approved_symbol
ABCA10	ABCA10	HGNC:30	approved_symbol
ABCA11	ABCA11P	HGNC:31	previous_symbol
ABCA11P	ABCA11P	HGNC:31	approved_symbol
ABCA12	ABCA12	HGNC:14637	approved_symbol
ABCA13	ABCA13	HGNC:14638	approved_symbol
ABCA15P	ABCA15P	HGNC:34405	approved_symbol
ABCA17P	ABCA17P	HGNC:32972	approved_symbol
ABCA2	ABCA2	HGNC:32	approved_symbol
ABCA3	ABCA3	HGNC:33	approved_symbol
ABCA3P1	ABCA3P1	HGNC:55707	approved_symbol
ABCA4	ABCA4	HGNC:34	approved_symbol
ABCA5	ABCA5	HGNC:35	approved_symbol
ABCA6	ABCA6	HGNC:36	approved_symbol
ABCA7	ABCA7	HGNC:37	approved_symbol
ABCA8	ABCA8	HGNC:38	approved_symbol
ABCA9	ABCA9	HGNC:39	approved_symbol
ABCA9_AS1	ABCA9_AS1	HGNC:39983	approved_symbol
ABCB1	ABCB1	HGNC:40	approved_symbol
ABCB10	ABCB10	HGNC:41	approved_symbol
ABCB10P	ABCB10P1	HGNC:14114	previous_symbol
ABCB10P1	ABCB10P1	HGNC:14114	approved_symbol
ABCB10P2	ABCB10P1	HGNC:14114	previous_symbol
ABCB10P3	ABCB10P3	HGNC:31129	approved_symbol
ABCB10P4	ABCB10P4	HGNC:31130	approved_symbol
ABCB11	ABCB11	HGNC:42	approved_symbol
ABCB2	TAP1	HGNC:43	previous_symbol
ABCB3	TAP2	HGNC:44	previous_symbol
ABCB4	ABCB4	HGNC:45	approved_symbol
ABCB5	ABCB5	HGNC:46	approved_symbol
ABCB5ALPHA	ABCB5	HGNC:46	alias_symbol
ABCB5BETA	ABCB5	HGNC:46	alias_symbol
ABCB6	ABCB6	HGNC:47	approved_symbol
ABCB7	ABCB7	HGNC:48	approved_symbol
ABCB8	ABCB8	HGNC:49	approved_symbol
ABCB9	ABCB9	HGNC:50	approved_symbol
ABCC1	ABCC1	HGNC:51	approved_symbol
ABCC10	ABCC10	HGNC:52	approved_symbol
ABCC11	ABCC11	HGNC:14639	approved_symbol
ABCC12	ABCC12	HGNC:14640	approved_symbol
ABCC13	ABCC13	HGNC:16022	approved_symbol
ABCC13P	ABCC13	HGNC:16022	alias_symbol
ABCC2	ABCC2	HGNC:53	approved_symbol
ABCC3	ABCC3	HGNC:54	approved_symbol
ABCC4	ABCC4	HGNC:55	approved_symbol
ABCC5	ABCC5	HGNC:56	approved_symbol
ABCC5_AS1	ABCC5_AS1	HGNC:40055	approved_symbol
ABCC6	ABCC6	HGNC:57	approved_symbol
ABCC6P1	ABCC6P1	HGNC:33352	approved_symbol
ABCC6P2	ABCC6P2	HGNC:33353	approved_symbol
ABCC7	CFTR	HGNC:1884	previous_symbol
ABCC8	ABCC8	HGNC:59	approved_symbol
ABCC9	ABCC9	HGNC:60	approved_symbol
ABCD1	ABCD1	HGNC:61	approved_symbol
ABCD1P1	ABCD1P1	HGNC:62	approved_symbol
