hugo_symbol	entrez_gene_id	oncogene	tsg	source_url
BARD1	580	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BAX	581	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BBC3	27113	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL10	8915	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL11A	53335	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL11B	64919	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL2	596	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL2L1	598	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL2L11	10018	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL2L2	599	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL3	602	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL6	604	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL7A	605	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL9	607	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCL9L	283149	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCOR	54880	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCORL1	63035	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BCR	613	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BIRC3	330	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BIRC5	332	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BLM	641	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BMPR1A	657	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRAF	673	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRCA1	672	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRCA2	675	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRD2	6046	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRD3	8019	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
