endpoint,representation,learner,folds,selected_blocks,median_selected_features,min_selected_features,max_selected_features
OS,signatures_plus_MAF_stack,cox_ph,5,Signatures + full core + optional controls (3/5); Signatures + full core biology (1/5); Signatures + exact driver genes (1/5),1130.0,1105.0,1130.0
PARPi7,MAF_stack_only,linear,5,Compact + exact driver genes (4/5); Full core biology (1/5),923.0,923.0,943.0
PARPi7,MAF_stack_only,xgboost,5,Compact + exact driver genes (2/5); Full core + optional controls (1/5); Compact + driver evidence tiers (1/5); Full core biology (1/5),923.0,137.0,948.0
PARPi7,signatures_plus_MAF_stack,linear,5,Signatures + exact driver genes (3/5); Signatures + full core biology (2/5),1105.0,1105.0,1125.0
PARPi7,signatures_plus_MAF_stack,xgboost,5,Signatures + full core + optional controls (2/5); Signatures + exact driver genes (2/5); Signatures + full core biology (1/5),1125.0,1105.0,1130.0
cancer_type_top20,MAF_stack_only,linear,5,Full core + optional controls (3/5); Full core biology (2/5),948.0,943.0,948.0
cancer_type_top20,MAF_stack_only,xgboost,5,Full core biology (3/5); Full core + optional controls (2/5),943.0,943.0,948.0
eCARD,MAF_stack_only,linear,5,Compact + exact driver genes (5/5),923.0,923.0,923.0
eCARD,MAF_stack_only,xgboost,5,Compact + exact driver genes (3/5); Full core + optional controls (1/5); Full core biology (1/5),923.0,923.0,948.0
eCARD,signatures_plus_MAF_stack,linear,5,Signatures + exact driver genes (5/5),1105.0,1105.0,1105.0
eCARD,signatures_plus_MAF_stack,xgboost,5,Signatures + full core biology (2/5); Signatures + full core + optional controls (2/5); Signatures + exact driver genes (1/5),1125.0,1105.0,1130.0
hrd_binary_24,MAF_stack_only,linear,5,Full core + optional controls (2/5); Full core biology (2/5); Compact + exact driver genes (1/5),943.0,923.0,948.0
hrd_binary_24,MAF_stack_only,xgboost,5,Full core biology (3/5); Full core + optional controls (1/5); Compact + exact driver genes (1/5),943.0,923.0,948.0
hrd_binary_24,signatures_plus_MAF_stack,linear,5,Signatures + full core + optional controls (3/5); Signatures + full core biology (1/5); Signatures + exact driver genes (1/5),1130.0,1105.0,1130.0
hrd_binary_24,signatures_plus_MAF_stack,xgboost,5,Signatures + full core biology (2/5); Signatures + exact driver genes (2/5); Signatures + compact biology (1/5),1105.0,303.0,1125.0
hrd_binary_33,MAF_stack_only,linear,5,Compact + exact driver genes (3/5); Compact + hotspot summaries (1/5); Full core + optional controls (1/5),923.0,125.0,948.0
hrd_binary_33,MAF_stack_only,xgboost,5,Full core + optional controls (3/5); Full core biology (2/5),948.0,943.0,948.0
hrd_binary_33,signatures_plus_MAF_stack,linear,5,Signatures + full core + optional controls (2/5); Signatures + driver evidence tiers (2/5); Signatures + full core biology (1/5),1125.0,319.0,1130.0
hrd_binary_33,signatures_plus_MAF_stack,xgboost,5,Signatures + full core biology (2/5); Signatures + full core + optional controls (1/5); Signatures + exact driver genes (1/5); Signatures only (1/5),1125.0,182.0,1130.0
hrd_binary_42,MAF_stack_only,linear,5,Compact + hotspot summaries (2/5); Compact + driver evidence tiers (1/5); Compact biology only (1/5); Compact + exact driver genes (1/5),125.0,121.0,923.0
hrd_binary_42,MAF_stack_only,xgboost,5,Full core biology (2/5); Full core + optional controls (2/5); Compact biology only (1/5),943.0,121.0,948.0
hrd_binary_42,signatures_plus_MAF_stack,linear,5,Signatures + hotspot summaries (4/5); Signatures + full core + optional controls (1/5),307.0,307.0,1130.0
hrd_binary_42,signatures_plus_MAF_stack,xgboost,5,Signatures + full core + optional controls (1/5); Signatures + full core biology (1/5); Signatures + compact biology (1/5); Signatures + exact driver genes (1/5); Signatures only (1/5),1105.0,182.0,1130.0
