feature,mean_abs_shap
driver_gene_functional_event_log_count__PALB2,0.0
driver_gene_role_matched_event_log_count__P2RY8,0.0
driver_gene_functional_event_log_count__P2RY8,0.0
driver_gene_role_matched_event_log_count__NUTM1,0.0
driver_gene_functional_event_log_count__NUTM1,0.0
driver_gene_role_matched_event_log_count__NUP98,0.0
driver_gene_role_matched_event_log_count__TNFRSF14,0.0
driver_gene_role_matched_event_log_count__NUP93,0.0
driver_gene_functional_event_log_count__TOP1,0.0
driver_gene_functional_event_log_count__NSD2,0.0
driver_gene_role_matched_event_log_count__NFE2L2,0.0
driver_gene_functional_event_log_count__TP63,0.0
driver_gene_role_matched_event_log_count__MYC,0.0
driver_gene_functional_event_log_count__ZRSR2,0.0
driver_gene_role_matched_event_log_count__ZFHX3,0.0
driver_gene_role_matched_event_log_count__XPO1,0.0
driver_gene_role_matched_event_log_count__MTOR,0.0
driver_gene_functional_event_log_count__XPO1,0.0
driver_gene_functional_event_log_count__MYC,0.0
driver_gene_functional_event_log_count__MYCN,0.0
driver_gene_role_matched_event_log_count__MYOD1,0.0
driver_gene_role_matched_event_log_count__MYCN,0.0
driver_gene_functional_event_log_count__MYD88,0.0
driver_gene_role_matched_event_log_count__MYD88,0.0
driver_gene_role_matched_event_log_count__MYH11,0.0
driver_gene_functional_event_log_count__MYO5A,0.0
driver_gene_role_matched_event_log_count__MYO5A,0.0
driver_gene_role_matched_event_log_count__MST1,0.0
driver_gene_functional_event_log_count__MST1,0.0
driver_gene_role_matched_event_log_count__MSI2,0.0
driver_gene_functional_event_log_count__MSI2,0.0
driver_gene_role_matched_event_log_count__MSH6,0.0
driver_gene_role_matched_event_log_count__MSH2,0.0
driver_gene_role_matched_event_log_count__ZRSR2,0.0
vep_impact_fraction__unknown,0.0
driver_gene_role_matched_event_log_count__MPL,0.0
driver_gene_functional_event_log_count__MPL,0.0
driver_gene_role_matched_event_log_count__MLLT3,0.0
driver_gene_functional_event_log_count__MLLT3,0.0
driver_gene_role_matched_event_log_count__MLLT1,0.0
vep_impact_count__unknown,0.0
driver_gene_functional_event_log_count__MLLT1,0.0
log10_dbs_burden,0.0
dbs_fraction,0.0
driver_gene_functional_event_log_count__MYOD1,0.0
driver_gene_functional_event_log_count__NCOA3,0.0
driver_gene_role_matched_event_log_count__NRG1,0.0
driver_gene_role_matched_event_log_count__TRAF7,0.0
driver_gene_functional_event_log_count__TMPRSS2,0.0
driver_gene_role_matched_event_log_count__TSC2,0.0
driver_gene_functional_event_log_count__NFKBIE,0.0
driver_gene_role_matched_event_log_count__NFKBIE,0.0
driver_gene_functional_event_log_count__NKX2_1,0.0
driver_gene_role_matched_event_log_count__NKX2_1,0.0
driver_gene_functional_event_log_count__TRAF7,0.0
driver_gene_role_matched_event_log_count__NCOA3,0.0
driver_gene_role_matched_event_log_count__NOTCH2,0.0
driver_gene_functional_event_log_count__NPM1,0.0
driver_gene_role_matched_event_log_count__NPM1,0.0
driver_gene_role_matched_event_log_count__TP63,0.0
driver_gene_role_matched_event_log_count__NRAS,0.0
driver_gene_functional_event_log_count__NRG1,0.0
driver_gene_functional_event_log_count__TSHR,0.0
driver_gene_role_matched_event_log_count__TSHR,0.0
driver_gene_role_matched_event_log_count__NFATC2,0.0
driver_gene_role_matched_event_log_count__NF2,0.0
driver_gene_functional_event_log_count__U2AF1,0.0
driver_gene_role_matched_event_log_count__U2AF1,0.0
driver_gene_role_matched_event_log_count__UBR5,0.0
driver_gene_functional_event_log_count__USP6,0.0
driver_gene_functional_event_log_count__NF2,0.0
driver_gene_role_matched_event_log_count__USP6,0.0
driver_gene_functional_event_log_count__USP8,0.0
driver_gene_role_matched_event_log_count__USP8,0.0
driver_gene_functional_event_log_count__WT1,0.0
driver_gene_role_matched_event_log_count__NCOR2,0.0
driver_gene_role_matched_event_log_count__WT1,0.0
driver_gene_functional_event_log_count__WWTR1,0.0
driver_gene_role_matched_event_log_count__WWTR1,0.0
driver_gene_role_matched_event_log_count__TMPRSS2,0.0
driver_gene_functional_event_log_count__SMARCD1,0.0
driver_gene_role_matched_event_log_count__TGFBR2,0.0
driver_gene_functional_event_log_count__RPL5,0.0
driver_gene_role_matched_event_log_count__MLH1,0.0
driver_gene_role_matched_event_log_count__RICTOR,0.0
driver_gene_functional_event_log_count__RIT1,0.0
driver_gene_role_matched_event_log_count__RIT1,0.0
driver_gene_functional_event_log_count__STAT6,0.0
driver_gene_role_matched_event_log_count__ROS1,0.0
driver_gene_role_matched_event_log_count__RPL5,0.0
driver_gene_role_matched_event_log_count__STAT6,0.0
driver_gene_functional_event_log_count__RPS6KA4,0.0
driver_gene_role_matched_event_log_count__STAT5B,0.0
driver_gene_role_matched_event_log_count__RPS6KA4,0.0
driver_gene_functional_event_log_count__RRAS2,0.0
driver_gene_role_matched_event_log_count__RRAS2,0.0
driver_gene_functional_event_log_count__RSPO2,0.0
driver_gene_role_matched_event_log_count__RHOA,0.0
driver_gene_role_matched_event_log_count__RHEB,0.0
driver_gene_role_matched_event_log_count__RAD52,0.0
driver_gene_role_matched_event_log_count__STK19,0.0
driver_gene_role_matched_event_log_count__RAF1,0.0
driver_gene_role_matched_event_log_count__SUFU,0.0
driver_gene_role_matched_event_log_count__RANBP2,0.0
driver_gene_functional_event_log_count__RARA,0.0
driver_gene_role_matched_event_log_count__RARA,0.0
driver_gene_functional_event_log_count__SUFU,0.0
driver_gene_functional_event_log_count__STK19,0.0
driver_gene_functional_event_log_count__RHEB,0.0
driver_gene_functional_event_log_count__RBM15,0.0
driver_gene_role_matched_event_log_count__RBM15,0.0
driver_gene_functional_event_log_count__RECQL4,0.0
driver_gene_role_matched_event_log_count__RECQL4,0.0
driver_gene_functional_event_log_count__RET,0.0
driver_gene_role_matched_event_log_count__RET,0.0
driver_gene_role_matched_event_log_count__RSPO2,0.0
driver_gene_role_matched_event_log_count__STAT3,0.0
driver_gene_functional_event_log_count__STAT3,0.0
driver_gene_functional_event_log_count__SOS1,0.0
driver_gene_functional_event_log_count__SMAD2,0.0
driver_gene_functional_event_log_count__SOX17,0.0
driver_gene_role_matched_event_log_count__SMAD2,0.0
driver_gene_functional_event_log_count__SMAD3,0.0
driver_gene_role_matched_event_log_count__SMAD3,0.0
driver_gene_role_matched_event_log_count__SOS1,0.0
driver_gene_role_matched_event_log_count__SOCS1,0.0
driver_gene_role_matched_event_log_count__RUNX1T1,0.0
driver_gene_role_matched_event_log_count__SMAD4,0.0
driver_gene_functional_event_log_count__SOCS1,0.0
driver_gene_role_matched_event_log_count__SMO,0.0
driver_gene_functional_event_log_count__SMO,0.0
driver_gene_role_matched_event_log_count__SMARCD1,0.0
driver_gene_functional_event_log_count__SMARCB1,0.0
driver_gene_role_matched_event_log_count__SH2B3,0.0
driver_gene_functional_event_log_count__SH2B3,0.0
driver_gene_role_matched_event_log_count__SOX17,0.0
driver_gene_role_matched_event_log_count__SF3B1,0.0
driver_gene_role_matched_event_log_count__SPEN,0.0
driver_gene_role_matched_event_log_count__SPOP,0.0
driver_gene_functional_event_log_count__SPRED1,0.0
driver_gene_role_matched_event_log_count__SPRED1,0.0
