feature,mean_abs_shap
driver_gene_functional_event_log_count__NUP98,0.0
driver_gene_role_matched_event_log_count__PML,0.0
driver_gene_role_matched_event_log_count__NUP98,0.0
driver_gene_functional_event_log_count__NUTM1,0.0
driver_gene_functional_event_log_count__PML,0.0
driver_gene_role_matched_event_log_count__NUTM1,0.0
driver_gene_functional_event_log_count__P2RY8,0.0
driver_gene_functional_event_log_count__PIK3R2,0.0
driver_gene_role_matched_event_log_count__PALB2,0.0
driver_gene_role_matched_event_log_count__PLK2,0.0
driver_gene_functional_event_log_count__PARP1,0.0
driver_gene_role_matched_event_log_count__PARP1,0.0
driver_gene_functional_event_log_count__PAX5,0.0
driver_gene_functional_event_log_count__PLK2,0.0
driver_gene_role_matched_event_log_count__PLCG1,0.0
driver_gene_functional_event_log_count__PLCG1,0.0
driver_gene_role_matched_event_log_count__PAX5,0.0
driver_gene_role_matched_event_log_count__PIM1,0.0
driver_gene_functional_event_log_count__PIM1,0.0
driver_gene_role_matched_event_log_count__PIK3R2,0.0
driver_gene_functional_event_log_count__PALB2,0.0
driver_gene_functional_event_log_count__KMT2A,0.0
driver_gene_role_matched_event_log_count__KMT2A,0.0
driver_gene_functional_event_log_count__KMT2C,0.0
driver_gene_role_matched_event_log_count__KMT2C,0.0
driver_gene_functional_event_log_count__KNSTRN,0.0
driver_gene_role_matched_event_log_count__KNSTRN,0.0
driver_gene_functional_event_log_count__KRAS,0.0
driver_gene_role_matched_event_log_count__KRAS,0.0
driver_gene_functional_event_log_count__LATS1,0.0
driver_gene_role_matched_event_log_count__LATS1,0.0
driver_gene_functional_event_log_count__LATS2,0.0
driver_gene_role_matched_event_log_count__LATS2,0.0
driver_gene_functional_event_log_count__POLD1,0.0
driver_gene_role_matched_event_log_count__LEF1,0.0
driver_gene_functional_event_log_count__LRP1B,0.0
driver_gene_role_matched_event_log_count__LRP1B,0.0
driver_gene_functional_event_log_count__LYN,0.0
driver_gene_role_matched_event_log_count__LYN,0.0
driver_gene_functional_event_log_count__LZTR1,0.0
driver_gene_role_matched_event_log_count__LZTR1,0.0
driver_gene_functional_event_log_count__MAF,0.0
driver_gene_role_matched_event_log_count__MAF,0.0
driver_gene_functional_event_log_count__MALT1,0.0
driver_gene_role_matched_event_log_count__MALT1,0.0
driver_gene_functional_event_log_count__MAML2,0.0
driver_gene_functional_event_log_count__LEF1,0.0
driver_gene_functional_event_log_count__IRF4,0.0
driver_gene_functional_event_log_count__IRS2,0.0
driver_gene_role_matched_event_log_count__IRS2,0.0
driver_gene_functional_event_log_count__JAK1,0.0
driver_gene_role_matched_event_log_count__JAK1,0.0
driver_gene_functional_event_log_count__JAK2,0.0
driver_gene_role_matched_event_log_count__JAK2,0.0
driver_gene_functional_event_log_count__JAK3,0.0
driver_gene_role_matched_event_log_count__JAK3,0.0
driver_gene_functional_event_log_count__JUN,0.0
driver_gene_role_matched_event_log_count__JUN,0.0
driver_gene_role_matched_event_log_count__KAT6A,0.0
driver_gene_role_matched_event_log_count__KLF4,0.0
driver_gene_role_matched_event_log_count__KDM5A,0.0
driver_gene_functional_event_log_count__KDM5C,0.0
driver_gene_role_matched_event_log_count__KDM5C,0.0
driver_gene_functional_event_log_count__KDM6A,0.0
driver_gene_role_matched_event_log_count__KDM6A,0.0
driver_gene_functional_event_log_count__KDR,0.0
driver_gene_role_matched_event_log_count__KDR,0.0
driver_gene_functional_event_log_count__KEAP1,0.0
driver_gene_role_matched_event_log_count__KEAP1,0.0
driver_gene_functional_event_log_count__KIT,0.0
driver_gene_role_matched_event_log_count__KIT,0.0
driver_gene_functional_event_log_count__KLF4,0.0
driver_gene_functional_event_log_count__KDM5A,0.0
driver_gene_role_matched_event_log_count__MET,0.0
driver_gene_functional_event_log_count__MGA,0.0
driver_gene_role_matched_event_log_count__MGA,0.0
driver_gene_functional_event_log_count__MLH1,0.0
driver_gene_role_matched_event_log_count__MLH1,0.0
driver_gene_functional_event_log_count__MLLT1,0.0
driver_gene_role_matched_event_log_count__MLLT1,0.0
driver_gene_functional_event_log_count__MLLT3,0.0
driver_gene_role_matched_event_log_count__MLLT3,0.0
driver_gene_functional_event_log_count__MPL,0.0
driver_gene_role_matched_event_log_count__MPL,0.0
driver_gene_functional_event_log_count__MSH2,0.0
driver_gene_role_matched_event_log_count__MAML2,0.0
driver_gene_functional_event_log_count__MSH6,0.0
driver_gene_role_matched_event_log_count__MSH6,0.0
driver_gene_functional_event_log_count__MSI2,0.0
driver_gene_role_matched_event_log_count__MSI2,0.0
driver_gene_functional_event_log_count__MST1,0.0
driver_gene_role_matched_event_log_count__MST1,0.0
driver_gene_functional_event_log_count__MTOR,0.0
driver_gene_role_matched_event_log_count__MTOR,0.0
driver_gene_functional_event_log_count__MYC,0.0
driver_gene_role_matched_event_log_count__MYC,0.0
driver_gene_functional_event_log_count__MYCN,0.0
driver_gene_role_matched_event_log_count__MYCN,0.0
driver_gene_role_matched_event_log_count__MSH2,0.0
driver_gene_functional_event_log_count__MAP2K1,0.0
driver_gene_role_matched_event_log_count__MAP2K1,0.0
driver_gene_functional_event_log_count__MAP2K2,0.0
driver_gene_role_matched_event_log_count__MAP2K2,0.0
driver_gene_functional_event_log_count__MAP2K4,0.0
driver_gene_role_matched_event_log_count__MAP2K4,0.0
driver_gene_functional_event_log_count__MAP3K1,0.0
driver_gene_role_matched_event_log_count__MAP3K1,0.0
driver_gene_functional_event_log_count__MAP3K13,0.0
driver_gene_role_matched_event_log_count__MAP3K13,0.0
driver_gene_functional_event_log_count__MAPK1,0.0
driver_gene_role_matched_event_log_count__MAPK1,0.0
driver_gene_functional_event_log_count__MET,0.0
driver_gene_role_matched_event_log_count__MAX,0.0
driver_gene_functional_event_log_count__MDC1,0.0
driver_gene_role_matched_event_log_count__MDC1,0.0
driver_gene_functional_event_log_count__MDM2,0.0
driver_gene_role_matched_event_log_count__MDM2,0.0
driver_gene_functional_event_log_count__MECOM,0.0
driver_gene_role_matched_event_log_count__MECOM,0.0
driver_gene_functional_event_log_count__MED12,0.0
driver_gene_role_matched_event_log_count__MED12,0.0
driver_gene_functional_event_log_count__MEF2B,0.0
driver_gene_role_matched_event_log_count__MEF2B,0.0
driver_gene_functional_event_log_count__MEN1,0.0
driver_gene_role_matched_event_log_count__MEN1,0.0
driver_gene_functional_event_log_count__MAX,0.0
driver_gene_functional_event_log_count__STAG2,0.0
driver_gene_role_matched_event_log_count__STAG2,0.0
driver_gene_functional_event_log_count__STAT3,0.0
driver_gene_role_matched_event_log_count__STAT3,0.0
driver_gene_functional_event_log_count__STAT5B,0.0
driver_gene_role_matched_event_log_count__STAT5B,0.0
driver_gene_functional_event_log_count__STAT6,0.0
driver_gene_role_matched_event_log_count__STAT6,0.0
driver_gene_functional_event_log_count__STK11,0.0
driver_gene_role_matched_event_log_count__STK11,0.0
driver_gene_functional_event_log_count__STK19,0.0
driver_gene_role_matched_event_log_count__STK19,0.0
driver_gene_role_matched_event_log_count__IRF4,0.0
driver_gene_role_matched_event_log_count__SUFU,0.0
driver_gene_functional_event_log_count__SUZ12,0.0
driver_gene_role_matched_event_log_count__SUZ12,0.0
driver_gene_functional_event_log_count__TAL1,0.0
driver_gene_role_matched_event_log_count__TAL1,0.0
driver_gene_functional_event_log_count__TBL1XR1,0.0
driver_gene_role_matched_event_log_count__TBL1XR1,0.0
driver_gene_functional_event_log_count__TBX3,0.0
driver_gene_role_matched_event_log_count__TBX3,0.0
driver_gene_functional_event_log_count__TCF3,0.0
driver_gene_role_matched_event_log_count__TCF3,0.0
driver_gene_functional_event_log_count__TCF7L2,0.0
driver_gene_functional_event_log_count__SUFU,0.0
driver_gene_role_matched_event_log_count__SMAD3,0.0
driver_gene_functional_event_log_count__SMAD4,0.0
driver_gene_role_matched_event_log_count__SMAD4,0.0
driver_gene_functional_event_log_count__SMARCA4,0.0
driver_gene_role_matched_event_log_count__SMARCA4,0.0
driver_gene_functional_event_log_count__SMARCB1,0.0
driver_gene_role_matched_event_log_count__SMARCB1,0.0
driver_gene_functional_event_log_count__SMARCD1,0.0
driver_gene_role_matched_event_log_count__SMARCD1,0.0
driver_gene_functional_event_log_count__SMO,0.0
driver_gene_role_matched_event_log_count__SMO,0.0
driver_gene_functional_event_log_count__SOCS1,0.0
driver_gene_role_matched_event_log_count__SRSF2,0.0
driver_gene_functional_event_log_count__SOS1,0.0
driver_gene_role_matched_event_log_count__SOS1,0.0
driver_gene_functional_event_log_count__SOX17,0.0
driver_gene_role_matched_event_log_count__SOX17,0.0
driver_gene_functional_event_log_count__SOX9,0.0
driver_gene_role_matched_event_log_count__SOX9,0.0
driver_gene_functional_event_log_count__SPEN,0.0
driver_gene_role_matched_event_log_count__SPEN,0.0
driver_gene_functional_event_log_count__SPOP,0.0
driver_gene_role_matched_event_log_count__SPOP,0.0
driver_gene_functional_event_log_count__SPRED1,0.0
driver_gene_role_matched_event_log_count__SPRED1,0.0
driver_gene_functional_event_log_count__SRSF2,0.0
driver_gene_role_matched_event_log_count__SOCS1,0.0
driver_gene_role_matched_event_log_count__TSC1,0.0
driver_gene_functional_event_log_count__TSC2,0.0
driver_gene_role_matched_event_log_count__WWTR1,0.0
driver_gene_functional_event_log_count__TSHR,0.0
driver_gene_role_matched_event_log_count__TSHR,0.0
driver_gene_functional_event_log_count__U2AF1,0.0
driver_gene_role_matched_event_log_count__U2AF1,0.0
driver_gene_functional_event_log_count__UBR5,0.0
driver_gene_role_matched_event_log_count__UBR5,0.0
driver_gene_functional_event_log_count__USP6,0.0
driver_gene_role_matched_event_log_count__USP6,0.0
driver_gene_functional_event_log_count__USP8,0.0
driver_gene_role_matched_event_log_count__TCF7L2,0.0
driver_gene_functional_event_log_count__VHL,0.0
driver_gene_role_matched_event_log_count__VHL,0.0
driver_gene_functional_event_log_count__WT1,0.0
driver_gene_role_matched_event_log_count__WT1,0.0
driver_gene_functional_event_log_count__XPO1,0.0
driver_gene_role_matched_event_log_count__XPO1,0.0
driver_gene_functional_event_log_count__ZFHX3,0.0
driver_gene_role_matched_event_log_count__ZFHX3,0.0
driver_gene_functional_event_log_count__ZRSR2,0.0
driver_gene_role_matched_event_log_count__ZRSR2,0.0
cancer_hotspot_residue_log_count,0.0
cancer_hotspot_unique_gene_log_count,0.0
log10_dbs_burden,0.0
driver_gene_role_matched_event_log_count__USP8,0.0
driver_gene_functional_event_log_count__TCL1A,0.0
driver_gene_role_matched_event_log_count__TCL1A,0.0
driver_gene_functional_event_log_count__TENT5C,0.0
driver_gene_role_matched_event_log_count__TENT5C,0.0
driver_gene_functional_event_log_count__TERT,0.0
driver_gene_role_matched_event_log_count__TERT,0.0
driver_gene_functional_event_log_count__TET1,0.0
driver_gene_role_matched_event_log_count__TET1,0.0
driver_gene_functional_event_log_count__TET2,0.0
driver_gene_role_matched_event_log_count__TET2,0.0
driver_gene_functional_event_log_count__TGFBR1,0.0
driver_gene_role_matched_event_log_count__TGFBR1,0.0
driver_gene_functional_event_log_count__TSC1,0.0
driver_gene_role_matched_event_log_count__TGFBR2,0.0
driver_gene_functional_event_log_count__TMPRSS2,0.0
driver_gene_role_matched_event_log_count__TMPRSS2,0.0
driver_gene_functional_event_log_count__TNFAIP3,0.0
driver_gene_role_matched_event_log_count__TNFAIP3,0.0
driver_gene_functional_event_log_count__TNFRSF14,0.0
driver_gene_role_matched_event_log_count__TNFRSF14,0.0
driver_gene_functional_event_log_count__TOP1,0.0
driver_gene_role_matched_event_log_count__TOP1,0.0
driver_gene_functional_event_log_count__TP63,0.0
driver_gene_role_matched_event_log_count__TP63,0.0
driver_gene_functional_event_log_count__TRAF7,0.0
driver_gene_role_matched_event_log_count__TRAF7,0.0
driver_gene_functional_event_log_count__TGFBR2,0.0
driver_gene_functional_event_log_count__PTPN13,0.0
driver_gene_role_matched_event_log_count__PTPN13,0.0
driver_gene_functional_event_log_count__PTPRD,0.0
driver_gene_role_matched_event_log_count__PTPRD,0.0
driver_gene_functional_event_log_count__PTPRS,0.0
driver_gene_role_matched_event_log_count__PTPRS,0.0
driver_gene_functional_event_log_count__PTPRT,0.0
driver_gene_role_matched_event_log_count__PTPRT,0.0
driver_gene_functional_event_log_count__QKI,0.0
driver_gene_role_matched_event_log_count__QKI,0.0
driver_gene_functional_event_log_count__RAC1,0.0
driver_gene_role_matched_event_log_count__RAC1,0.0
driver_gene_functional_event_log_count__SMAD3,0.0
driver_gene_role_matched_event_log_count__RAD21,0.0
driver_gene_functional_event_log_count__RAD50,0.0
driver_gene_role_matched_event_log_count__RAD50,0.0
driver_gene_functional_event_log_count__RAD51C,0.0
driver_gene_role_matched_event_log_count__RAD51C,0.0
driver_gene_functional_event_log_count__RAD52,0.0
driver_gene_role_matched_event_log_count__RAD52,0.0
driver_gene_functional_event_log_count__RAF1,0.0
driver_gene_role_matched_event_log_count__RAF1,0.0
driver_gene_functional_event_log_count__RANBP2,0.0
driver_gene_role_matched_event_log_count__RANBP2,0.0
driver_gene_functional_event_log_count__RARA,0.0
driver_gene_role_matched_event_log_count__RARA,0.0
driver_gene_functional_event_log_count__RAD21,0.0
driver_gene_functional_event_log_count__POLE,0.0
driver_gene_role_matched_event_log_count__POLE,0.0
driver_gene_functional_event_log_count__POT1,0.0
driver_gene_role_matched_event_log_count__POT1,0.0
driver_gene_functional_event_log_count__PPM1D,0.0
driver_gene_role_matched_event_log_count__PPM1D,0.0
driver_gene_functional_event_log_count__PPP2R1A,0.0
driver_gene_role_matched_event_log_count__PPP2R1A,0.0
driver_gene_functional_event_log_count__PPP4R2,0.0
driver_gene_role_matched_event_log_count__PPP4R2,0.0
driver_gene_functional_event_log_count__PPP6C,0.0
driver_gene_role_matched_event_log_count__PPP6C,0.0
driver_gene_role_matched_event_log_count__PTPN11,0.0
driver_gene_role_matched_event_log_count__PRDM1,0.0
driver_gene_functional_event_log_count__PRDM14,0.0
driver_gene_role_matched_event_log_count__PRDM14,0.0
driver_gene_functional_event_log_count__PREX2,0.0
driver_gene_role_matched_event_log_count__PREX2,0.0
driver_gene_functional_event_log_count__PRKAR1A,0.0
driver_gene_role_matched_event_log_count__PRKAR1A,0.0
driver_gene_functional_event_log_count__PRKCI,0.0
driver_gene_role_matched_event_log_count__PRKCI,0.0
driver_gene_functional_event_log_count__PTCH1,0.0
driver_gene_role_matched_event_log_count__PTCH1,0.0
driver_gene_role_matched_event_log_count__PTEN,0.0
driver_gene_functional_event_log_count__PTPN11,0.0
driver_gene_functional_event_log_count__PRDM1,0.0
driver_gene_functional_event_log_count__RRAS2,0.0
driver_gene_role_matched_event_log_count__RRAS2,0.0
driver_gene_functional_event_log_count__RSPO2,0.0
driver_gene_role_matched_event_log_count__RSPO2,0.0
driver_gene_functional_event_log_count__RUNX1,0.0
driver_gene_role_matched_event_log_count__RUNX1,0.0
