endpoint,sample,muat_feature_1,muat_feature_2,muat_feature_3,muat_feature_4,muat_feature_5,muat_feature_6,muat_feature_7,muat_feature_8,muat_feature_9,muat_feature_10,muat_feature_11,muat_feature_12,muat_feature_13,muat_feature_14,muat_feature_15,muat_feature_16,muat_feature_17,muat_feature_18,muat_feature_19,muat_feature_20,muat_feature_21,muat_feature_22,muat_feature_23,muat_feature_24
tcga_20_type,TCGA-49-AARQ,-0.3083451986312866,-0.12199317663908005,-0.26261332631111145,0.14084619283676147,-0.4542008340358734,-0.704788863658905,0.24316078424453735,-0.017385020852088928,-0.10691273212432861,-0.07759453356266022,0.19118168950080872,-0.1724904477596283,0.1880679875612259,0.045406773686409,-0.16601452231407166,-0.29800528287887573,-0.507745623588562,-0.20926323533058167,0.13988831639289856,-0.5456905364990234,0.25377655029296875,-0.011452436447143555,-0.3547136187553406,-0.05611240863800049
tcga_20_type,TCGA-66-2734,-0.26978614926338196,-0.2407139539718628,-0.41961631178855896,0.04364844411611557,-0.5415947437286377,-0.7280585765838623,0.3966641128063202,0.16802768409252167,0.012222781777381897,-0.13952100276947021,0.22023770213127136,-0.2520269751548767,0.2798949182033539,-0.06702887266874313,-0.1403929889202118,-0.50633305311203,-0.5702187418937683,-0.06138099730014801,0.06312841922044754,-0.7273074388504028,0.11885817348957062,0.06754148006439209,-0.45442789793014526,0.06067375838756561
tcga_20_type,TCGA-66-2793,-0.23891237378120422,0.24341584742069244,0.22015586495399475,0.2591204345226288,-0.04525771737098694,-0.0664212703704834,0.20773914456367493,0.08867612481117249,-0.31881433725357056,-0.37109991908073425,-0.13970543444156647,0.31816554069519043,0.4701543152332306,0.07795510441064835,-0.3616581857204437,-0.12574367225170135,-0.6442258954048157,-0.24455729126930237,-0.04973652958869934,-0.1608092337846756,0.2221248596906662,-0.12668482959270477,0.016348235309123993,0.19939880073070526
tcga_20_type,TCGA-94-7033,-0.32586240768432617,-0.12383110821247101,-0.2582477927207947,0.24574926495552063,-0.4608822762966156,-0.7402656078338623,0.17629745602607727,0.08611305058002472,-0.04526256024837494,0.04610983282327652,0.18946196138858795,-0.11350036412477493,0.191165491938591,-0.01296907663345337,0.024939555674791336,-0.40603482723236084,-0.4355880916118622,-0.1915934830904007,-0.09365621209144592,-0.7360506057739258,0.2571064233779907,0.014925390481948853,-0.29873126745224,-0.02066671848297119
tcga_20_type,TCGA-A6-2685,-0.1586104929447174,0.4191998839378357,0.11134551465511322,0.043580345809459686,-0.16369959712028503,-0.01035647839307785,0.14168456196784973,0.025102734565734863,-0.2589748501777649,-0.4492681920528412,0.18562102317810059,0.5083807706832886,0.2660093903541565,0.21223798394203186,-0.20135393738746643,-0.27452826499938965,-0.495391309261322,-0.14414271712303162,-0.03362235426902771,-0.135467529296875,0.3022642433643341,-0.10164081305265427,0.07749676704406738,0.21349205076694489
tcga_20_type,TCGA-AR-A0TX,-0.3168349862098694,-0.014919012784957886,-0.23844891786575317,0.25291699171066284,-0.5470450520515442,-0.6294399499893188,0.1480346918106079,0.11528387665748596,0.06240139901638031,0.0013040662743151188,0.2566014230251312,-0.03294573724269867,0.25213319063186646,0.032192543148994446,-0.07958133518695831,-0.2312154620885849,-0.4013175666332245,-0.32064956426620483,-0.017318647354841232,-0.7705298066139221,0.10400661081075668,-0.03301514685153961,-0.17198564112186432,-0.12692080438137054
tcga_20_type,TCGA-AX-A2HD,-0.22181767225265503,-0.22505170106887817,-0.35059499740600586,0.07227905839681625,-0.5320472121238708,-0.735312283039093,0.1060262992978096,-0.051989324390888214,-0.07728300988674164,-0.08353433012962341,0.4401593804359436,-0.1710677593946457,0.20041826367378235,0.03206060826778412,0.16003447771072388,-0.771257758140564,-0.29986581206321716,-0.06198253482580185,0.18174991011619568,-0.7269247770309448,0.21549610793590546,0.08957567811012268,-0.4614996910095215,-0.00833815336227417
tcga_20_type,TCGA-B4-5377,-0.12004955857992172,0.17487187683582306,0.11014655232429504,0.16113939881324768,-0.17581045627593994,0.0010450035333633423,0.16605724394321442,0.07758274674415588,-0.15507152676582336,-0.314546138048172,-0.022221218794584274,0.3852282762527466,0.320084810256958,0.19025540351867676,-0.2722044587135315,-0.18051022291183472,-0.5850356817245483,-0.06837749481201172,-0.022437751293182373,-0.20755508542060852,0.2230311930179596,-0.10992363095283508,0.10773557424545288,0.2209363579750061
tcga_20_type,TCGA-B8-5546,-0.03558698669075966,-0.2371237576007843,-0.27002644538879395,0.0508129820227623,-0.3948093056678772,-0.9442949295043945,0.020793892443180084,0.1030883640050888,0.07216882705688477,0.013791976496577263,0.30456972122192383,-0.03873369097709656,0.23261530697345734,-0.04947812110185623,-0.04973239079117775,-0.7135382294654846,-0.5361594557762146,-0.14103707671165466,-0.08958104252815247,-0.4243066906929016,0.12137238681316376,0.09824506938457489,-0.3933643102645874,0.0654699057340622
tcga_20_type,TCGA-BC-A10X,0.3249509334564209,0.10389383137226105,0.5424504280090332,0.3625807762145996,-0.08614221960306168,-0.04041296988725662,0.25128334760665894,0.3336827754974365,-0.5324224829673767,-0.3741462230682373,0.038178328424692154,0.6654729247093201,0.2248222529888153,0.344024121761322,-0.17400285601615906,0.05018298327922821,-0.06047726422548294,-0.43718552589416504,-0.13323135673999786,-0.3542695641517639,0.5873857140541077,0.11876490712165833,-0.007393751293420792,0.49348488450050354
tcga_20_type,TCGA-BH-A42V,-0.20174285769462585,-0.012373048812150955,-0.2288721650838852,0.16012686491012573,-0.4861728847026825,-0.7177196145057678,0.20871317386627197,0.17539992928504944,0.028876736760139465,0.03137454390525818,0.3556983768939972,0.040926069021224976,0.15834923088550568,0.0010554492473602295,-0.09629711508750916,-0.34530091285705566,-0.4789218604564667,-0.23720230162143707,-0.04336591064929962,-0.6930084228515625,0.18285036087036133,0.04590928554534912,-0.12902136147022247,-0.12471946328878403
tcga_20_type,TCGA-BJ-A2NA,-0.22130586206912994,-0.11767159402370453,-0.17915204167366028,0.21065327525138855,-0.40665993094444275,-0.6090582013130188,0.025069721043109894,0.04101753234863281,0.21742744743824005,0.10383661836385727,0.3320360481739044,-0.05124013125896454,0.11465351283550262,0.0352938175201416,-0.166996568441391,-0.20845843851566315,-0.4875413477420807,-0.3163200616836548,0.04645686596632004,-0.6642273664474487,0.3470197319984436,0.03449048101902008,-0.1865982562303543,-0.06992173194885254
tcga_20_type,TCGA-BJ-A45G,-0.17591765522956848,0.0886923223733902,0.3471778929233551,0.11413838714361191,-0.09524979442358017,-0.02260303497314453,0.10026834905147552,-0.05600224435329437,-0.43698421120643616,-0.40929698944091797,0.09227582812309265,0.5298671722412109,0.4268839359283447,0.22259917855262756,-0.10989111661911011,-0.0052913278341293335,-0.5799829959869385,-0.19983801245689392,0.11950591206550598,-0.2143845558166504,0.32396766543388367,0.17402563989162445,-0.09724023938179016,0.23106350004673004
tcga_20_type,TCGA-BK-A26L,-0.12649312615394592,0.11935220658779144,0.14563485980033875,0.016050025820732117,-0.06582610309123993,-0.02467721700668335,0.17248138785362244,-0.020995736122131348,-0.17332112789154053,-0.39289623498916626,-0.0139305479824543,0.2930278778076172,0.24564936757087708,0.2431333363056183,-0.20955795049667358,-0.24762682616710663,-0.4904933273792267,-0.1552581489086151,0.07370688021183014,-0.172812819480896,0.32613828778266907,0.08347015827894211,0.017154812812805176,0.24593672156333923
tcga_20_type,TCGA-BP-4962,-0.2899605631828308,-0.0988282561302185,-0.39261487126350403,0.11451885849237442,-0.6176564693450928,-0.8062804341316223,0.3830503523349762,0.2553144693374634,-0.40388357639312744,-0.09811227768659592,0.43026864528656006,-0.12056390941143036,0.44064319133758545,-0.016084134578704834,-0.04918373003602028,-0.5554459691047668,-0.5172490477561951,-0.1900857537984848,0.002006828784942627,-0.6987858414649963,0.18435606360435486,-0.11565310508012772,-0.25916266441345215,-0.04830550029873848
tcga_20_type,TCGA-C4-A0F1,-0.22739467024803162,-0.07283645123243332,-0.22893372178077698,0.09991937130689621,-0.6362447738647461,-0.7044697999954224,0.08803506940603256,0.11313966661691666,-0.017534956336021423,0.05705425888299942,0.2760910391807556,-0.09260494261980057,0.1052178293466568,-0.03815672546625137,-0.0987897515296936,-0.31667017936706543,-0.4484478533267975,-0.3552466034889221,-0.06980258226394653,-0.6329523324966431,0.22061951458454132,0.01625165343284607,-0.15022392570972443,-0.22406385838985443
tcga_20_type,TCGA-C5-A7CG,-0.19112813472747803,0.3235142230987549,0.1369750052690506,-0.12997576594352722,-0.07866720855236053,-0.0012240409851074219,0.23126456141471863,-0.12000180780887604,-0.35489192605018616,-0.33020609617233276,0.10585899651050568,0.396009624004364,0.32341647148132324,0.26999431848526,-0.15846842527389526,-0.26956707239151,-0.5559667944908142,-0.23880019783973694,0.15028120577335358,-0.09861321747303009,0.3109661042690277,-0.062363073229789734,0.0734720379114151,0.23602959513664246
tcga_20_type,TCGA-CG-5728,0.015422593802213669,0.2560800313949585,0.13120919466018677,0.10242866724729538,-0.18934518098831177,0.09235840290784836,0.2591421604156494,0.0366843044757843,-0.23018357157707214,-0.34604695439338684,0.0825497955083847,0.33047986030578613,0.4470212757587433,0.3042762577533722,-0.27871793508529663,-0.13199371099472046,-0.5085129737854004,-0.21861624717712402,-0.04287800192832947,-0.25136134028434753,0.22924071550369263,-0.034492235630750656,0.09133264422416687,0.33517080545425415
tcga_20_type,TCGA-CR-7395,-0.2714441418647766,0.1834900826215744,0.12306712567806244,0.044222988188266754,-0.13922902941703796,0.052488259971141815,0.2410699725151062,-0.034173667430877686,-0.2331417202949524,-0.23834070563316345,0.1412450224161148,0.3845069408416748,0.2769266366958618,0.11071712523698807,-0.16495534777641296,-0.26578783988952637,-0.38228997588157654,-0.16310426592826843,0.13810235261917114,-0.10032805800437927,0.2297641634941101,-0.11044512689113617,-0.02374948188662529,0.29936501383781433
tcga_20_type,TCGA-CU-A5W6,-0.17118516564369202,0.18201421201229095,0.2227453887462616,0.10290785878896713,-0.08454283326864243,0.037922851741313934,0.11163485050201416,0.017086073756217957,-0.29878735542297363,-0.18328234553337097,-0.09884598851203918,0.3407711386680603,0.2918170988559723,0.22558709979057312,-0.23354947566986084,-0.19843648374080658,-0.4466720521450043,-0.22597041726112366,0.012351110577583313,-0.2843073606491089,0.1805802881717682,-0.15273143351078033,0.18913224339485168,0.33389803767204285
tcga_20_type,TCGA-CV-7243,-0.3029748201370239,-0.23549014329910278,-0.24457140266895294,0.0640299841761589,-0.5261616706848145,-0.6951356530189514,0.31064745783805847,0.171739861369133,-0.03397904336452484,-0.020923608914017677,0.23071828484535217,-0.14772677421569824,0.18837125599384308,-0.09581684321165085,-0.0653013288974762,-0.48838168382644653,-0.5278797149658203,-0.2660270929336548,-0.05742265656590462,-0.7543131113052368,0.3262555003166199,-0.017184220254421234,-0.29657793045043945,-0.014412805438041687
tcga_20_type,TCGA-D5-6540,-0.04957961291074753,0.16042478382587433,0.1058310866355896,0.12295158207416534,-0.09242244064807892,-0.026235736906528473,0.21672233939170837,-0.03796648234128952,-0.18851476907730103,-0.2979893088340759,-0.02230219356715679,0.3189629912376404,0.44822680950164795,0.24159228801727295,-0.2870755195617676,-0.19577842950820923,-0.5382307767868042,-0.2536804676055908,0.005899325013160706,-0.14123103022575378,0.23814484477043152,0.11498259752988815,0.01944229193031788,0.233261838555336
tcga_20_type,TCGA-DA-A95Y,-0.2595984935760498,-0.04656846821308136,-0.10432890057563782,0.09145341068506241,-0.6089967489242554,-0.6632269024848938,-0.02354530245065689,0.0943901538848877,-0.14492760598659515,0.04480992630124092,0.43114301562309265,-0.2268645465373993,0.02932889387011528,0.09135226160287857,-0.007905539125204086,-0.31711459159851074,-0.6474791169166565,-0.4155670404434204,0.16693639755249023,-0.7020966410636902,0.23412322998046875,0.05097852647304535,-0.09796257317066193,-0.13727153837680817
tcga_20_type,TCGA-DD-A116,-0.32022470235824585,-0.12582121789455414,-0.22296252846717834,0.1564258337020874,-0.5566474199295044,-0.7154839634895325,0.24953162670135498,-0.04730705916881561,-0.07498389482498169,-0.06293893605470657,0.28044769167900085,-0.03434063494205475,0.16032366454601288,0.03162582963705063,-0.010286759585142136,-0.2856413722038269,-0.4326634109020233,-0.24639779329299927,0.13039788603782654,-0.6415483951568604,0.20596392452716827,-0.041196152567863464,-0.27184855937957764,0.028822287917137146
tcga_20_type,TCGA-DD-AAE4,-0.15504682064056396,0.1360704004764557,0.056176990270614624,0.13690979778766632,-0.1091601550579071,-0.023266427218914032,0.2513054311275482,0.021301887929439545,-0.2589031159877777,-0.42016685009002686,-0.09343643486499786,0.35343682765960693,0.36185550689697266,0.06717970222234726,-0.24877804517745972,-0.33460408449172974,-0.5951959490776062,-0.2905519902706146,0.19692350924015045,-0.1154659241437912,0.1941831111907959,-0.07003804296255112,-0.030243966728448868,0.24836426973342896
tcga_20_type,TCGA-DM-A1HB,-0.3226780891418457,-0.12882882356643677,-0.33112043142318726,0.11685717850923538,-0.6492022275924683,-0.6707118153572083,0.2263561487197876,0.0053154826164245605,-0.1208382248878479,-0.03497272729873657,0.25340837240219116,-0.06910201907157898,0.16245706379413605,0.014503724873065948,-0.00400644913315773,-0.5232803225517273,-0.3612963855266571,-0.2284015417098999,0.2516888380050659,-0.6768582463264465,0.11850805580615997,0.12975303828716278,-0.328797310590744,0.014305949211120605
tcga_20_type,TCGA-DW-7838,-0.11134161055088043,0.12438333034515381,0.21011659502983093,0.21819207072257996,0.001261640340089798,0.008199654519557953,0.1936468780040741,0.1219620555639267,-0.31441548466682434,-0.26993101835250854,0.027520429342985153,0.2826002240180969,0.4403352439403534,0.18353509902954102,-0.2162342667579651,-0.08116172254085541,-0.47371238470077515,-0.2776714563369751,0.07039067149162292,-0.21863330900669098,0.3127692937850952,0.011542855761945248,0.03780551627278328,0.3015349805355072
