endpoint,endpoint_display,representation_family,representation_family_display,model_family,model_display,calibration_mode,calibration_mode_display,calibration_y_label,bin,bin_left,bin_right,mean_predicted,observed_frequency,n_samples,n_total,n_classes,endpoint_ece
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,7,0.6000000000000001,0.7000000000000001,0.6599275279045105,0.4,25,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,8,0.7000000000000001,0.8,0.7484110214493491,0.6363636363636364,33,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,9,0.8,0.9,0.849164787460776,0.7647058823529411,17,772,2,0.07601780127613492
hrd_binary_42,HRD42 high/low,signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,binary_positive_probability,Positive-class probability,Observed positive fraction,10,0.9,1.0,0.9537537867023099,0.8548387096774194,62,772,2,0.07601780127613492
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,2,0.1,0.2,0.18249596003061472,0.25,56,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,3,0.2,0.30000000000000004,0.26013140214071384,0.2889344262295082,488,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,4,0.30000000000000004,0.4,0.35067286795505004,0.4,865,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,5,0.4,0.5,0.4494597570289576,0.5192307692307693,936,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,6,0.5,0.6000000000000001,0.5494988588169115,0.6269554753309265,831,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,7,0.6000000000000001,0.7000000000000001,0.6498012347243067,0.7235772357723578,861,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,8,0.7000000000000001,0.8,0.7502322213117826,0.8124352331606217,965,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,9,0.8,0.9,0.8534128730135482,0.9056956115779645,1071,8800,20,0.046192374206438624
cancer_type_top20,Cancer type (top 20),signatures_plus_MAF_stack,Signatures + Bio MAF v4,XGBoost,XGBoost,multiclass_confidence_accuracy,Confidence versus correctness,Observed accuracy,10,0.9,1.0,0.9615787129735508,0.9750641730839751,2727,8800,20,0.046192374206438624
