run_id,endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,endpoint_family,task,task_display,representation,representation_display,representation_family,representation_family_display,atlas_status,atlas_status_display,model_family,model_display,model_label,model_label_display,metric,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,kme_version,kme_config_id,landmark_mode,sigma_multiplier,sigma_strategy,modality_strategy,landmark_sampling,kernel_weighting,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file,bundle_table,source_priority,analysis_family,analysis_family_display,display_model,display_model_display,status,selection_policy
20260524T194601Z,luad_kmt2c_mutated,LUAD KMT2C mutated,supplement,Supplement,mc3_kmt2c_supportive,binary,Binary classification,previous_uga_mean_pooled,Previous pooled UGA,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,elastic_net,Elastic net,"LogisticRegression(L2,C=1.0,class_weight=balanced)","Logisticregression(l2,c=1.0,class Weight=balanced)",auroc,AUROC,0.7456356609808102,,,,,,0.0851212686567165,,,,,515.0,73.0,5.0,1.0,,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data,uga_kme_data_endpoint_results.csv,uga_kme_data_endpoint_results.csv,0,Alternative geometry,Alternative geometry,elastic_net,Elastic net,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,luad_kmt2c_mutated,LUAD KMT2C mutated,supplement,Supplement,mc3_kmt2c_supportive,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,elastic_net,Elastic net,"LogisticRegression(L2,C=1.0,class_weight=balanced)","Logisticregression(l2,c=1.0,class Weight=balanced)",auroc,AUROC,0.7516657782515992,,,,,,0.0911513859275054,,,,,515.0,182.0,5.0,1.0,,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data,uga_kme_data_endpoint_results.csv,uga_kme_data_endpoint_results.csv,0,Alternative geometry,Alternative geometry,elastic_net,Elastic net,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,mmr_gene_mutated,MMR-pathway mutated,supplement,Supplement,tcga_mc3,binary,Binary classification,locked_uga_sbs_exposure,Locked UGA SBS exposures,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.8555947491723181,0.8555947491723181,0.4335432849270282,,,0.6822625786655501,,,,,,10224.0,100.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,parpi7_binary,PARPi7 binary,supplement,Supplement,main,classification,Classification,locked_uga_sbs_id_pooled,Locked UGA SBS+ID pooled,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,locked_uga_sbs_id_pooled,Locked UGA SBS+ID pooled,auroc,AUROC,0.7552238805970148,0.7552238805970148,0.3084186867800944,,,,,,,,,154.0,,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\hrd\all_fold_metrics.tsv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,locked_uga_sbs_id_pooled,Locked UGA SBS+ID pooled,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,parpi7_binary,PARPi7 binary,supplement,Supplement,hrd,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,elastic_net,Elastic net,"LogisticRegression(L2,C=1.0,class_weight=balanced)","Logisticregression(l2,c=1.0,class Weight=balanced)",auroc,AUROC,0.651822834586579,,,,,,0.0844102240833295,,,,,772.0,182.0,5.0,1.0,,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data,uga_kme_data_endpoint_results.csv,uga_kme_data_endpoint_results.csv,0,Alternative geometry,Alternative geometry,elastic_net,Elastic net,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,pole_pold1_mutated,POLE/POLD1 mutated,supplement,Supplement,tcga_mc3,binary,Binary classification,locked_uga_sbs_exposure,Locked UGA SBS exposures,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.8328581790819145,0.8328581790819145,0.4662050420052333,,,0.6408516847610557,,,,,,10224.0,100.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,smoking_ever,Ever smoker,supplement,Supplement,tcga_mc3,binary,Binary classification,locked_uga_sbs_exposure,Locked UGA SBS exposures,UGA_geometry,UGA geometry,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,unspecified,Source model,unified_locked,Unified locked model,auroc,AUROC,0.773886737518603,0.773886737518603,0.9017860003951944,,,0.6936019924639419,,,,,,2798.0,100.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,Alternative geometry,Alternative geometry,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,smoking_ever,Ever smoker,supplement,Supplement,mc3_clinical,binary,Binary classification,uga_rbf_kernel_mean,UGA kernel mean,channel_KME,Channel KME,uses UGA channel atlas for SBS/DBS; ID payload encoder for ID83,UGA channel atlas,elastic_net,Elastic net,"LogisticRegression(L2,C=1.0,class_weight=balanced)","Logisticregression(l2,c=1.0,class Weight=balanced)",auroc,AUROC,0.7591403519162054,,,,,,0.026080721281117,,,,,2798.0,182.0,5.0,1.0,,,,,,,,,,,,,,,5-fold StratifiedKFold,uga_kme_data,uga_kme_data_endpoint_results.csv,uga_kme_data_endpoint_results.csv,0,Alternative geometry,Alternative geometry,elastic_net,Elastic net,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_LOH,HRD LOH,supplement,Supplement,tcga_brca_hrd,regression,Regression,standard_sbs_id_exposure,SBS + ID exposures,COSMIC_NNLS_exposures,COSMIC NNLS exposures,uses COSMIC reference signatures; no UGA atlas for standard exposures,COSMIC reference signatures,unspecified,Source model,unified_locked,Unified locked model,spearman,Spearman r,0.5652355111878485,,,,,,,,,,,772.0,125.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,COSMIC/NNLS exposure checks,COSMIC/NNLS exposure checks,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
20260524T194601Z,HRD_LST,HRD LST,supplement,Supplement,tcga_brca_hrd,regression,Regression,standard_sbs_exposure,SBS exposures,COSMIC_NNLS_exposures,COSMIC NNLS exposures,uses COSMIC reference signatures; no UGA atlas for standard exposures,COSMIC reference signatures,unspecified,Source model,unified_locked,Unified locked model,spearman,Spearman r,0.6754256103067854,,,,,,,,,,,772.0,100.0,5.0,1.0,,,,,,,,,,,,,,,5-fold OOF CV where available,unified_locked,data\tcga_signature_endpoints\signature_exposure_endpoint_metrics.csv,unified_locked_endpoint_results.csv,25,COSMIC/NNLS exposure checks,COSMIC/NNLS exposure checks,unified_locked,Unified locked model,measured,best measured supplementary row for endpoint and representation family; selected model shown
