endpoint_display,endpoint_tier_display,task_display,representation_family_display,representation_display,atlas_status_display,model_display,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,p_value,q_value,delta_vs_signatures,ci_low,ci_high,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,na_reason,split_strategy,endpoint,endpoint_tier,task,representation_family,representation,atlas_status,model_family,metric,run_id,cache_key,oof_prediction_file,fold_metrics_file,experiment_id,source_file
Kucab damage class,Main,Grouped multiclass,Event-level MAF stack,Event-level MAF stack,No UGA atlas,XGBoost,macro-AUROC,0.5849643747533945,0.5849643747533945,,0.2934362934362934,0.2057931517188934,0.2068030048749811,,,,,,259.0,2255.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,MAF_stack_only,MAF_stack_only,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,main_complete_panel_kucab_event_stack_872e23eb5f9880be0be816d9,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Event-level MAF stack,Event-level MAF stack,No UGA atlas,Elastic net,macro-AUROC,0.5661408172704501,0.5661408172704501,,0.2972972972972973,0.1707486287320001,0.1938906904135596,,,,,,259.0,2255.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,MAF_stack_only,MAF_stack_only,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,main_complete_panel_kucab_event_stack_872e23eb5f9880be0be816d9,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Mutational burden,Mutational burden,No UGA atlas,XGBoost,macro-AUROC,0.4587688301509167,0.4587688301509167,,0.2548262548262548,0.1352033416395118,0.1697383567680661,,,,,,259.0,1.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,burden_only,burden_only,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Mutational burden,Mutational burden,No UGA atlas,Elastic net,macro-AUROC,0.4594700024996611,0.4594700024996611,,0.1351351351351351,0.1025871732039962,0.1075708701484876,,,,,,259.0,1.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,burden_only,burden_only,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,XGBoost,macro-AUROC,0.656001481830023,0.656001481830023,,0.3281853281853282,0.2397577718492108,0.2382278049604204,,,0.0047764551949676,,,259.0,132.0,5.0,1.0,,10.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,one_hot_event_kme_features_09f286189df69d4dfa45fb80,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,Elastic net,macro-AUROC,0.6226565201728522,0.6226565201728522,,0.3166023166023166,0.2286790604626678,0.227947345824911,,,0.0392393172373064,,,259.0,132.0,5.0,1.0,,10.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,one_hot_event_kme_features_b78592624d25ab104767b531,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Mutational signatures,SBS96 + DBS78 + ID83 spectra,No UGA atlas,XGBoost,macro-AUROC,0.6512250266350554,0.6512250266350554,,0.3436293436293436,0.2351008165847577,0.2437008681545258,,,,,,259.0,261.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,signatures_only,standard_sbs96_dbs78_id83,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Mutational signatures,SBS96 + DBS78 + ID83 spectra,No UGA atlas,Elastic net,macro-AUROC,0.5960191712439127,0.5960191712439127,,0.332046332046332,0.220838580778856,0.2270141931014988,,,,,,259.0,261.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,signatures_only,standard_sbs96_dbs78_id83,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Signatures + MAF stack,Signatures + MAF stack,No UGA atlas,XGBoost,macro-AUROC,0.6426391744743751,0.6426391744743751,,0.3397683397683397,0.2219074009665171,0.2315441005002231,,,,,,259.0,2516.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,signatures_plus_MAF_stack,signatures_plus_MAF_stack,no UGA atlas,XGBoost,macro_auroc,20260524T162414Z,main_complete_panel_kucab_signatures_plus_event_stack_fd639a8047eaf339d8ce38eb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
Kucab damage class,Main,Grouped multiclass,Signatures + MAF stack,Signatures + MAF stack,No UGA atlas,Elastic net,macro-AUROC,0.5584409653747315,0.5584409653747315,,0.2857142857142857,0.1689243024487026,0.1830547272234592,,,,,,259.0,2516.0,5.0,1.0,,0.0,,5-fold StratifiedGroupKFold grouped by agent_core,damage_class,main,multiclass_grouped,signatures_plus_MAF_stack,signatures_plus_MAF_stack,no UGA atlas,elastic_net,macro_auroc,20260524T162414Z,main_complete_panel_kucab_signatures_plus_event_stack_fd639a8047eaf339d8ce38eb,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD33 high/low,Main,Binary classification,Event-level MAF stack,Event-level MAF stack,No UGA atlas,XGBoost,AUROC,0.8657341213103295,0.8657341213103295,0.6976465013451599,0.7992227979274611,0.773758137125333,0.7895418295046548,,,,,,772.0,1823.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,MAF_stack_only,MAF_stack_only,no UGA atlas,XGBoost,auroc,20260524T162414Z,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_b5085709af81c8c99858e079,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD33 high/low,Main,Binary classification,Event-level MAF stack,Event-level MAF stack,No UGA atlas,Elastic net,AUROC,0.7308010040352048,0.7308010040352048,0.4744584306803781,0.6968911917098446,0.6679264705882353,0.6871445365869158,,,,,,772.0,1823.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,MAF_stack_only,MAF_stack_only,no UGA atlas,elastic_net,auroc,20260524T162414Z,main_complete_panel_mc3_maf_only_best_gene_locus_multiscale_stack_7227b5f529e2757d5f9718ef,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD33 high/low,Main,Binary classification,Mutational burden,Mutational burden,No UGA atlas,XGBoost,AUROC,0.8263710164267785,0.8263710164267785,0.649884503397887,0.7551813471502591,0.735416519331306,0.7663950052425889,,,,,,772.0,3.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,burden_only,burden_only,no UGA atlas,XGBoost,auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD33 high/low,Main,Binary classification,Mutational burden,Mutational burden,No UGA atlas,Elastic net,AUROC,0.7947725034156261,0.7947725034156261,0.5694713178935986,0.7487046632124352,0.6949784932221064,0.6905125027801607,,,,,,772.0,3.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,burden_only,burden_only,no UGA atlas,elastic_net,auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
HRD33 high/low,Main,Binary classification,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,XGBoost,AUROC,0.8635497092746163,0.8635497092746163,0.7473259969399336,0.8147668393782384,0.7878464675349134,0.7982794776475074,,,-0.0204381533377816,,,772.0,132.0,5.0,1.0,,10.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,XGBoost,auroc,20260524T162414Z,one_hot_event_kme_features_99a7d87ae17e83536d3e551a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
HRD33 high/low,Main,Binary classification,One-hot sequence KME,One-hot sequence KME,GRCh37 FASTA windows,Elastic net,AUROC,0.7606281574683063,0.7606281574683063,0.5859736895274769,0.7124352331606217,0.6854808518135171,0.7067486416928797,,,0.0298350967495949,,,772.0,132.0,5.0,1.0,,10.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,one_hot_event_KME,one_hot_event_kme_oracle,uses GRCh37 FASTA windows; no UGA atlas,elastic_net,auroc,20260524T162414Z,one_hot_event_kme_features_c64be60c54f9ed906c68c317,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv
HRD33 high/low,Main,Binary classification,Mutational signatures,SBS96 + ID83 spectra,No UGA atlas,XGBoost,AUROC,0.8835748101547357,0.8835748101547357,0.7829412261434728,0.8173575129533679,0.7894639116635043,0.7977234454929623,,,,,,772.0,182.0,5.0,1.0,,0.0,,5-fold StratifiedKFold,hrd_binary_33,main,binary,signatures_only,standard_sbs96_id83,no UGA atlas,XGBoost,auroc,20260524T162414Z,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv
